UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2013,R,1088.0,R,1269.0,R,86.0,R,1001.0,Z,0.0,R,1001.0,R,632.0,R,63.0,R,8.0,R,0.0,R,8.0,R,4.0,R,50.0,R,15.0
100663,2013,R,1732.0,R,3277.0,R,53.0,R,1653.0,R,0.0,R,1653.0,R,1325.0,R,80.0,R,22.0,R,0.0,R,22.0,R,11.0,R,50.0,R,18.0
100690,2013,R,3.0,R,7.0,R,43.0,R,8.0,R,0.0,R,8.0,R,3.0,R,38.0,R,3.0,R,0.0,R,3.0,R,1.0,R,33.0,R,10.0
100706,2013,R,638.0,R,1474.0,R,43.0,R,615.0,R,0.0,R,615.0,R,498.0,R,81.0,R,9.0,R,0.0,R,9.0,R,4.0,R,44.0,R,16.0
100724,2013,R,1520.0,R,1768.0,R,86.0,R,1436.0,R,0.0,R,1436.0,R,893.0,R,62.0,R,43.0,R,0.0,R,43.0,R,13.0,R,30.0,R,16.0
100751,2013,R,6428.0,R,8133.0,R,79.0,R,6338.0,R,40.0,R,6298.0,R,5479.0,R,87.0,R,33.0,R,1.0,R,32.0,R,21.0,R,66.0,R,21.0
100760,2013,R,470.0,R,762.0,R,62.0,R,464.0,Z,0.0,R,464.0,R,198.0,R,43.0,R,226.0,Z,0.0,R,226.0,R,94.0,R,42.0,R,17.0
100812,2013,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,17.0
100830,2013,R,685.0,R,1202.0,R,57.0,R,579.0,R,0.0,R,579.0,R,366.0,R,63.0,R,77.0,R,0.0,R,77.0,R,35.0,R,45.0,R,16.0
100858,2013,R,3696.0,R,4813.0,R,77.0,R,3805.0,R,0.0,R,3805.0,R,3404.0,R,89.0,R,34.0,R,0.0,R,34.0,R,29.0,R,85.0,R,18.0
100937,2013,R,356.0,R,384.0,R,93.0,R,327.0,R,1.0,R,326.0,R,262.0,R,80.0,A,,A,,A,,A,,A,,R,13.0
101028,2013,R,333.0,R,794.0,R,42.0,R,364.0,R,0.0,R,364.0,R,188.0,R,52.0,R,82.0,R,0.0,R,82.0,R,27.0,R,33.0,R,18.0
101073,2013,R,147.0,R,244.0,R,60.0,R,156.0,R,0.0,R,156.0,R,64.0,R,41.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,17.0
101116,2013,R,27.0,R,187.0,R,14.0,R,31.0,Z,0.0,R,31.0,R,6.0,R,19.0,R,7.0,Z,0.0,R,7.0,R,1.0,R,14.0,R,12.0
101143,2013,R,340.0,R,1015.0,R,33.0,R,292.0,R,0.0,R,292.0,R,158.0,R,54.0,R,60.0,R,0.0,R,60.0,R,27.0,R,45.0,R,18.0
101161,2013,R,1078.0,R,1906.0,R,57.0,R,971.0,R,0.0,R,971.0,R,506.0,R,52.0,R,206.0,R,0.0,R,206.0,R,82.0,R,40.0,R,25.0
101189,2013,R,287.0,R,915.0,R,31.0,R,346.0,R,0.0,R,346.0,R,173.0,R,50.0,R,23.0,R,0.0,R,23.0,R,10.0,R,43.0,R,15.0
101240,2013,R,1143.0,R,1985.0,R,58.0,R,993.0,R,0.0,R,993.0,R,555.0,R,56.0,R,326.0,R,0.0,R,326.0,R,126.0,R,39.0,R,20.0
101277,2013,A,,A,,A,,R,44.0,R,0.0,R,44.0,R,38.0,R,86.0,A,,A,,A,,A,,A,,R,17.0
