UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2009,R,1044.0,R,1301.0,R,80.0,R,1044.0,R,0.0,R,1044.0,R,718.0,R,69.0,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,R,14
100663,2009,R,1497.0,R,2723.0,R,55.0,R,1247.0,Z,0.0,R,1247.0,R,1017.0,R,82.0,R,30.0,Z,0.0,R,30.0,R,17.0,R,57.0,R,17
100690,2009,R,4.0,R,4.0,R,100.0,R,9.0,R,0.0,R,9.0,R,9.0,R,100.0,R,3.0,R,0.0,R,3.0,R,3.0,R,100.0,R,10
100706,2009,R,774.0,R,1682.0,R,46.0,R,765.0,R,0.0,R,765.0,R,578.0,R,76.0,R,31.0,R,0.0,R,31.0,R,14.0,R,45.0,R,17
100724,2009,R,1209.0,R,1413.0,R,86.0,R,1329.0,R,0.0,R,1329.0,R,709.0,R,53.0,R,49.0,Z,0.0,R,49.0,R,13.0,R,27.0,R,17
100751,2009,R,5096.0,R,6487.0,R,79.0,R,5034.0,R,24.0,R,5010.0,R,4183.0,R,83.0,R,82.0,R,0.0,R,82.0,R,40.0,R,49.0,R,20
100760,2009,R,594.0,R,914.0,R,65.0,R,446.0,R,0.0,R,446.0,R,141.0,R,32.0,R,50.0,R,0.0,R,50.0,R,24.0,R,48.0,R,15
100812,2009,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,18
100830,2009,R,737.0,R,1221.0,R,60.0,R,712.0,R,0.0,R,712.0,R,411.0,R,58.0,R,109.0,R,0.0,R,109.0,R,45.0,R,41.0,R,18
100858,2009,R,3898.0,R,5256.0,R,74.0,R,3959.0,R,0.0,R,3959.0,R,3412.0,R,86.0,R,25.0,R,0.0,R,25.0,R,16.0,R,64.0,R,18
100937,2009,R,424.0,R,462.0,R,92.0,R,451.0,R,0.0,R,451.0,R,365.0,R,81.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,12
101028,2009,R,281.0,R,787.0,R,36.0,R,255.0,R,0.0,R,255.0,R,171.0,R,67.0,R,94.0,R,0.0,R,94.0,R,5.0,R,5.0,R,19
101073,2009,R,124.0,R,145.0,R,86.0,R,286.0,R,89.0,R,197.0,R,75.0,R,38.0,R,61.0,R,31.0,R,30.0,R,2.0,R,7.0,R,22
101116,2009,R,59.0,R,214.0,R,28.0,R,20.0,R,0.0,R,20.0,R,9.0,R,45.0,R,13.0,R,0.0,R,13.0,R,5.0,R,38.0,R,14
101143,2009,R,553.0,R,1209.0,R,46.0,R,461.0,R,0.0,R,461.0,R,300.0,R,65.0,R,74.0,R,0.0,R,74.0,R,24.0,R,32.0,R,17
101161,2009,R,1070.0,R,1933.0,R,55.0,R,869.0,R,61.0,R,808.0,R,526.0,R,65.0,R,165.0,R,30.0,R,135.0,R,65.0,R,48.0,R,28
101189,2009,R,344.0,R,742.0,R,46.0,R,231.0,R,0.0,R,231.0,R,160.0,R,69.0,R,106.0,R,0.0,R,106.0,R,74.0,R,70.0,R,14
101240,2009,R,1573.0,R,2705.0,R,58.0,R,1307.0,R,0.0,R,1307.0,R,722.0,R,55.0,R,232.0,R,0.0,R,232.0,R,106.0,R,46.0,R,22
101286,2009,R,973.0,R,1775.0,R,55.0,R,802.0,R,0.0,R,802.0,R,503.0,R,63.0,R,166.0,R,0.0,R,166.0,R,77.0,R,46.0,R,25
101295,2009,R,1108.0,R,2343.0,R,47.0,R,1026.0,R,2.0,R,1024.0,R,623.0,R,61.0,R,160.0,R,0.0,R,160.0,R,82.0,R,51.0,R,23
101301,2009,R,462.0,R,757.0,R,61.0,R,394.0,R,0.0,R,394.0,R,221.0,R,56.0,R,82.0,R,0.0,R,82.0,R,28.0,R,34.0,R,23
101365,2009,R,34.0,R,107.0,R,32.0,R,34.0,R,0.0,R,34.0,R,23.0,R,68.0,R,18.0,R,0.0,R,18.0,R,8.0,R,44.0,R,13
101435,2009,R,237.0,R,363.0,R,65.0,R,253.0,R,0.0,R,253.0,R,160.0,R,63.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,13
101453,2009,R,4.0,R,11.0,R,36.0,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,R,9
101462,2009,R,240.0,R,671.0,R,36.0,R,176.0,Z,0.0,R,176.0,R,83.0,R,47.0,R,50.0,Z,0.0,R,50.0,R,15.0,R,30.0,R,16
101471,2009,R,279.0,R,307.0,R,91.0,R,306.0,R,0.0,R,306.0,R,125.0,R,41.0,R,6.0,R,0.0,R,6.0,R,3.0,R,50.0,R,13
101480,2009,R,1220.0,R,1961.0,R,62.0,R,1243.0,R,0.0,R,1243.0,R,846.0,R,68.0,R,56.0,R,0.0,R,56.0,R,24.0,R,43.0,R,20
