UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2018,R,1402.0,R,1676.0,R,84.0,R,1288.0,R,0.0,R,0.0,R,1288.0,R,784.0,R,61.0,R,6.0,R,0.0,R,0.0,R,6.0,R,6.0,R,100.0,R,20.0
100663,2018,R,2245.0,R,3965.0,R,57.0,R,2207.0,R,8.0,R,0.0,R,2199.0,R,1800.0,R,82.0,R,71.0,R,0.0,R,0.0,R,71.0,R,33.0,R,46.0,R,19.0
100690,2018,R,1.0,R,289.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,12.0
100706,2018,R,1428.0,R,2392.0,R,60.0,R,1340.0,R,2.0,Z,0.0,R,1338.0,R,1109.0,R,83.0,R,11.0,R,0.0,Z,0.0,R,11.0,R,1.0,R,9.0,R,17.0
100724,2018,R,1025.0,R,1185.0,R,86.0,R,951.0,R,0.0,R,0.0,R,951.0,R,558.0,R,59.0,R,16.0,R,0.0,R,0.0,R,16.0,R,2.0,R,13.0,R,15.0
100751,2018,R,6632.0,R,8442.0,R,79.0,R,7385.0,R,2.0,R,0.0,R,7383.0,R,6488.0,R,88.0,R,22.0,R,0.0,R,0.0,R,22.0,R,14.0,R,64.0,R,22.0
100760,2018,R,315.0,R,775.0,R,41.0,R,349.0,R,0.0,R,0.0,R,349.0,R,191.0,R,55.0,R,44.0,R,0.0,R,0.0,R,44.0,R,15.0,R,34.0,R,18.0
100812,2018,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,15.0
100830,2018,R,730.0,R,1330.0,R,55.0,R,627.0,R,0.0,R,0.0,R,627.0,R,420.0,R,67.0,R,25.0,R,0.0,R,0.0,R,25.0,R,15.0,R,60.0,R,17.0
100858,2018,R,4744.0,R,6317.0,R,75.0,R,4771.0,R,7.0,R,0.0,R,4764.0,R,4287.0,R,90.0,R,65.0,R,6.0,R,0.0,R,59.0,R,44.0,R,75.0,R,19.0
100937,2018,R,328.0,R,374.0,R,88.0,R,349.0,R,0.0,R,0.0,R,349.0,R,279.0,R,80.0,A,,A,,A,,A,,A,,A,,R,12.0
101028,2018,R,329.0,R,743.0,R,44.0,R,276.0,R,0.0,R,0.0,R,276.0,R,150.0,R,54.0,R,65.0,R,0.0,R,0.0,R,65.0,R,15.0,R,23.0,R,17.0
101116,2018,R,7.0,R,71.0,R,10.0,R,6.0,R,0.0,R,0.0,R,6.0,R,2.0,R,33.0,R,1.0,R,0.0,R,0.0,R,1.0,R,0.0,R,0.0,R,10.0
101143,2018,R,317.0,R,841.0,R,38.0,R,306.0,R,0.0,R,0.0,R,306.0,R,167.0,R,55.0,R,97.0,R,0.0,R,0.0,R,97.0,R,33.0,R,34.0,R,18.0
101161,2018,R,1441.0,R,3652.0,R,39.0,R,1516.0,R,0.0,Z,0.0,R,1516.0,R,855.0,R,56.0,R,270.0,R,0.0,R,0.0,R,270.0,R,89.0,R,33.0,R,22.0
101189,2018,R,254.0,R,924.0,R,27.0,R,311.0,R,0.0,R,0.0,R,311.0,R,169.0,R,54.0,R,14.0,R,0.0,R,0.0,R,14.0,R,8.0,R,57.0,R,12.0
101240,2018,R,865.0,R,1835.0,R,47.0,R,888.0,R,0.0,R,0.0,R,888.0,R,484.0,R,55.0,R,216.0,R,0.0,R,0.0,R,216.0,R,109.0,R,50.0,R,17.0
101277,2018,A,,A,,A,,R,31.0,R,0.0,R,0.0,R,31.0,R,30.0,R,97.0,A,,A,,A,,A,,A,,A,,R,20.0
101286,2018,R,658.0,R,1708.0,R,39.0,R,705.0,Z,0.0,Z,0.0,R,705.0,R,412.0,R,58.0,R,217.0,Z,0.0,Z,0.0,R,217.0,R,103.0,R,47.0,R,17.0
101295,2018,R,934.0,R,1880.0,R,50.0,R,1003.0,R,0.0,Z,0.0,R,1003.0,R,630.0,R,63.0,R,300.0,R,0.0,Z,0.0,R,300.0,R,150.0,R,50.0,R,16.0
101301,2018,R,279.0,R,590.0,R,47.0,R,266.0,Z,0.0,Z,0.0,R,266.0,R,167.0,R,63.0,R,16.0,Z,0.0,Z,0.0,R,16.0,R,3.0,R,19.0,R,13.0
101365,2018,R,16.0,R,150.0,R,11.0,R,2.0,R,0.0,R,0.0,R,2.0,R,1.0,R,50.0,R,1.0,R,0.0,R,0.0,R,1.0,R,0.0,R,0.0,R,14.0
101435,2018,R,248.0,R,323.0,R,77.0,R,294.0,R,0.0,R,0.0,R,294.0,R,197.0,R,67.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,14.0
101453,2018,R,4.0,R,10.0,R,40.0,R,8.0,R,0.0,R,0.0,R,8.0,R,8.0,R,100.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,8.0
101462,2018,R,74.0,R,378.0,R,20.0,R,90.0,R,0.0,R,0.0,R,90.0,R,31.0,R,34.0,R,35.0,R,0.0,R,0.0,R,35.0,R,12.0,R,34.0,R,15.0
101471,2018,R,208.0,R,293.0,R,71.0,R,202.0,R,0.0,R,0.0,R,202.0,R,145.0,R,72.0,R,60.0,R,0.0,R,0.0,R,60.0,R,26.0,R,43.0,R,11.0
101480,2018,R,1060.0,R,2244.0,R,47.0,R,1115.0,R,0.0,R,0.0,R,1115.0,R,841.0,R,75.0,R,32.0,R,0.0,R,0.0,R,32.0,R,14.0,R,44.0,R,18.0
101505,2018,R,1031.0,R,4255.0,R,24.0,R,983.0,R,0.0,R,0.0,R,983.0,R,564.0,R,57.0,R,733.0,R,0.0,R,0.0,R,733.0,R,309.0,R,42.0,R,20.0
101514,2018,R,1182.0,R,3677.0,R,32.0,R,1072.0,R,0.0,R,0.0,R,1072.0,R,673.0,R,63.0,R,889.0,R,1.0,R,0.0,R,888.0,R,370.0,R,42.0,R,23.0
101541,2018,R,62.0,R,90.0,R,69.0,R,65.0,R,0.0,R,0.0,R,65.0,R,40.0,R,62.0,R,3.0,R,0.0,R,0.0,R,3.0,R,0.0,R,0.0,R,5.0
101569,2018,R,679.0,R,1484.0,R,46.0,R,715.0,R,0.0,R,0.0,R,715.0,R,365.0,R,51.0,R,197.0,R,0.0,R,0.0,R,197.0,R,71.0,R,36.0,R,16.0
101587,2018,R,413.0,R,771.0,R,54.0,R,460.0,Z,0.0,Z,0.0,R,460.0,R,287.0,R,62.0,R,1.0,Z,0.0,Z,0.0,R,1.0,R,1.0,R,100.0,R,14.0
101602,2018,R,377.0,R,877.0,R,43.0,R,415.0,R,0.0,R,0.0,R,415.0,R,236.0,R,57.0,R,50.0,R,0.0,R,0.0,R,50.0,R,26.0,R,52.0,R,17.0
101648,2018,R,230.0,R,241.0,R,95.0,R,281.0,R,0.0,R,0.0,R,281.0,R,126.0,R,45.0,A,,A,,A,,A,,A,,A,,R,14.0
101675,2018,R,348.0,R,504.0,R,69.0,R,307.0,R,0.0,R,0.0,R,307.0,R,167.0,R,54.0,R,2.0,R,0.0,R,0.0,R,2.0,R,0.0,R,0.0,R,16.0
101693,2018,R,241.0,R,716.0,R,34.0,R,226.0,R,0.0,R,0.0,R,226.0,R,171.0,R,76.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,13.0
101709,2018,R,488.0,R,645.0,R,76.0,R,482.0,R,0.0,R,0.0,R,482.0,R,366.0,R,76.0,R,5.0,R,0.0,R,0.0,R,5.0,R,3.0,R,60.0,R,13.0
101736,2018,R,639.0,R,1539.0,R,42.0,R,677.0,R,0.0,R,0.0,R,677.0,R,397.0,R,59.0,R,136.0,R,0.0,R,0.0,R,136.0,R,60.0,R,44.0,R,19.0
101879,2018,R,987.0,R,1920.0,R,51.0,R,1108.0,R,1.0,R,0.0,R,1107.0,R,834.0,R,75.0,R,20.0,R,0.0,R,0.0,R,20.0,R,7.0,R,35.0,R,19.0
101897,2018,R,474.0,R,1224.0,R,39.0,R,496.0,R,0.0,Z,0.0,R,496.0,R,316.0,R,64.0,R,127.0,R,0.0,R,0.0,R,127.0,R,77.0,R,61.0,R,18.0
101912,2018,R,316.0,R,392.0,R,81.0,R,366.0,R,0.0,R,0.0,R,366.0,R,261.0,R,71.0,R,2.0,R,0.0,R,0.0,R,2.0,R,0.0,R,0.0,R,11.0
101994,2018,R,68.0,R,212.0,R,32.0,R,55.0,R,0.0,R,0.0,R,55.0,R,27.0,R,49.0,R,7.0,R,0.0,R,0.0,R,7.0,R,2.0,R,29.0,R,12.0
102030,2018,R,624.0,R,1370.0,R,46.0,R,647.0,R,0.0,R,0.0,R,647.0,R,298.0,R,46.0,R,165.0,R,0.0,R,0.0,R,165.0,R,48.0,R,29.0,R,19.0
