UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2019,R,1688.0,R,1809.0,R,93.0,R,1401.0,R,0.0,R,0.0,R,1401.0,R,797.0,R,57.0,R,3.0,R,0.0,R,0.0,R,3.0,R,2.0,R,67.0,R,20.0
100663,2019,R,2304.0,R,3836.0,R,60.0,R,2245.0,R,3.0,R,0.0,R,2242.0,R,1863.0,R,83.0,R,54.0,R,0.0,R,0.0,R,54.0,R,32.0,R,59.0,R,19.0
100690,2019,R,3.0,R,308.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,13.0
100706,2019,R,1489.0,R,2376.0,R,63.0,R,1428.0,R,0.0,R,0.0,R,1428.0,R,1184.0,R,83.0,R,7.0,R,0.0,R,0.0,R,7.0,R,1.0,R,14.0,R,19.0
100724,2019,R,1000.0,R,1175.0,R,85.0,R,1025.0,R,0.0,R,0.0,R,1025.0,R,628.0,R,61.0,R,13.0,R,0.0,R,0.0,R,13.0,R,7.0,R,54.0,R,15.0
100751,2019,R,6734.0,R,8597.0,R,78.0,R,6632.0,R,1.0,R,0.0,R,6631.0,R,5764.0,R,87.0,R,31.0,R,0.0,R,0.0,R,31.0,R,15.0,R,48.0,R,20.0
100760,2019,R,328.0,R,901.0,R,36.0,R,315.0,R,0.0,R,0.0,R,315.0,R,185.0,R,59.0,R,57.0,R,0.0,R,0.0,R,57.0,R,22.0,R,39.0,R,18.0
100812,2019,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,14.0
100830,2019,R,602.0,R,1158.0,R,52.0,R,730.0,R,0.0,R,0.0,R,730.0,R,481.0,R,66.0,R,27.0,R,0.0,R,0.0,R,27.0,R,10.0,R,37.0,R,16.0
100858,2019,R,4761.0,R,6071.0,R,78.0,R,4744.0,R,10.0,R,0.0,R,4734.0,R,4325.0,R,91.0,R,39.0,R,0.0,R,0.0,R,39.0,R,22.0,R,56.0,R,20.0
100937,2019,R,332.0,R,393.0,R,84.0,R,328.0,R,0.0,R,0.0,R,328.0,R,262.0,R,80.0,A,,A,,A,,A,,A,,A,,R,11.0
101028,2019,R,260.0,R,679.0,R,38.0,R,329.0,R,0.0,R,0.0,R,329.0,R,165.0,R,50.0,R,75.0,R,0.0,R,0.0,R,75.0,R,20.0,R,27.0,R,15.0
101116,2019,R,13.0,R,63.0,R,21.0,R,5.0,R,0.0,R,0.0,R,5.0,R,1.0,R,20.0,A,,A,,A,,A,,A,,A,,R,6.0
101143,2019,R,359.0,R,870.0,R,41.0,R,317.0,R,0.0,R,0.0,R,317.0,R,197.0,R,62.0,R,77.0,R,0.0,R,0.0,R,77.0,R,34.0,R,44.0,R,19.0
101161,2019,R,1336.0,R,3488.0,R,38.0,R,1441.0,R,0.0,R,0.0,R,1441.0,R,811.0,R,56.0,R,250.0,R,0.0,R,0.0,R,250.0,R,76.0,R,30.0,R,22.0
101189,2019,R,259.0,R,814.0,R,32.0,R,254.0,R,0.0,R,0.0,R,254.0,R,155.0,R,61.0,R,19.0,R,0.0,R,0.0,R,19.0,R,7.0,R,37.0,R,13.0
101240,2019,R,812.0,R,1795.0,R,45.0,R,865.0,R,0.0,R,0.0,R,865.0,R,472.0,R,55.0,R,212.0,R,0.0,R,0.0,R,212.0,R,114.0,R,54.0,R,15.0
101277,2019,A,,A,,A,,R,35.0,R,0.0,R,0.0,R,35.0,R,32.0,R,91.0,A,,A,,A,,A,,A,,A,,R,21.0
101286,2019,R,687.0,R,1787.0,R,38.0,R,659.0,Z,0.0,Z,0.0,R,659.0,R,396.0,R,60.0,R,261.0,Z,0.0,Z,0.0,R,261.0,R,138.0,R,53.0,R,16.0
101295,2019,R,967.0,R,2003.0,R,48.0,R,934.0,R,0.0,R,0.0,R,934.0,R,593.0,R,63.0,R,243.0,R,0.0,R,0.0,R,243.0,R,124.0,R,51.0,R,17.0
101301,2019,R,242.0,R,660.0,R,37.0,R,279.0,R,0.0,R,0.0,R,279.0,R,163.0,R,58.0,R,41.0,R,0.0,R,0.0,R,41.0,R,19.0,R,46.0,R,13.0
101365,2019,R,11.0,R,164.0,R,7.0,R,4.0,Z,0.0,Z,0.0,R,4.0,R,1.0,R,25.0,R,0.0,Z,0.0,Z,0.0,R,0.0,R,0.0,A,,R,15.0
101435,2019,R,256.0,R,320.0,R,80.0,R,248.0,R,0.0,R,0.0,R,248.0,R,153.0,R,62.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,13.0
101453,2019,A,,A,,A,,R,4.0,R,0.0,R,0.0,R,4.0,R,4.0,R,100.0,R,3.0,R,0.0,R,0.0,R,3.0,R,3.0,R,100.0,R,6.0
101462,2019,R,74.0,R,350.0,R,21.0,R,74.0,R,0.0,R,0.0,R,74.0,R,30.0,R,41.0,R,45.0,R,0.0,R,0.0,R,45.0,R,15.0,R,33.0,R,12.0
101471,2019,R,176.0,R,248.0,R,71.0,R,205.0,R,0.0,R,0.0,R,205.0,R,158.0,R,77.0,R,69.0,R,0.0,R,0.0,R,69.0,R,41.0,R,59.0,R,8.0
101480,2019,R,1469.0,R,2789.0,R,53.0,R,1060.0,R,0.0,R,0.0,R,1060.0,R,802.0,R,76.0,R,13.0,R,0.0,R,0.0,R,13.0,R,6.0,R,46.0,R,18.0
101505,2019,R,954.0,R,4017.0,R,24.0,R,1031.0,R,0.0,R,0.0,R,1031.0,R,597.0,R,58.0,R,663.0,R,0.0,R,0.0,R,663.0,R,284.0,R,43.0,R,18.0
101514,2019,R,1214.0,R,3653.0,R,33.0,R,1182.0,R,0.0,R,0.0,R,1182.0,R,774.0,R,65.0,R,920.0,R,0.0,R,0.0,R,920.0,R,390.0,R,42.0,R,22.0
101541,2019,R,46.0,R,82.0,R,56.0,R,62.0,Z,0.0,Z,0.0,R,62.0,R,37.0,R,60.0,R,3.0,Z,0.0,Z,0.0,R,3.0,R,0.0,R,0.0,R,5.0
101569,2019,R,671.0,R,1471.0,R,46.0,R,679.0,R,0.0,R,0.0,R,679.0,R,395.0,R,58.0,R,222.0,R,0.0,R,0.0,R,222.0,R,67.0,R,30.0,R,17.0
101587,2019,R,320.0,R,709.0,R,45.0,R,413.0,Z,0.0,Z,0.0,R,413.0,R,275.0,R,67.0,R,2.0,Z,0.0,Z,0.0,R,2.0,R,2.0,R,100.0,R,14.0
101602,2019,R,399.0,R,911.0,R,44.0,R,377.0,R,0.0,R,0.0,R,377.0,R,228.0,R,60.0,R,40.0,R,0.0,R,0.0,R,40.0,R,13.0,R,33.0,R,17.0
101648,2019,R,269.0,R,291.0,R,92.0,R,230.0,R,0.0,R,0.0,R,230.0,R,93.0,R,40.0,A,,A,,A,,A,,A,,A,,R,15.0
101675,2019,R,304.0,R,425.0,R,72.0,R,348.0,R,0.0,R,0.0,R,348.0,R,223.0,R,64.0,R,6.0,R,0.0,R,0.0,R,6.0,R,1.0,R,17.0,R,16.0
101693,2019,R,266.0,R,360.0,R,74.0,R,241.0,R,0.0,R,0.0,R,241.0,R,181.0,R,75.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,13.0
101709,2019,R,482.0,R,694.0,R,69.0,R,488.0,R,0.0,R,0.0,R,488.0,R,361.0,R,74.0,R,2.0,R,0.0,R,0.0,R,2.0,R,2.0,R,100.0,R,13.0
101736,2019,R,589.0,R,1513.0,R,39.0,R,639.0,R,0.0,R,0.0,R,639.0,R,386.0,R,60.0,R,154.0,R,0.0,R,0.0,R,154.0,R,74.0,R,48.0,R,17.0
101879,2019,R,1020.0,R,2039.0,R,50.0,R,987.0,Z,0.0,Z,0.0,R,987.0,R,744.0,R,75.0,R,18.0,Z,0.0,Z,0.0,R,18.0,R,4.0,R,22.0,R,16.0
101897,2019,R,434.0,R,1189.0,R,37.0,R,474.0,R,0.0,R,0.0,R,474.0,R,334.0,R,70.0,R,105.0,R,0.0,R,0.0,R,105.0,R,53.0,R,50.0,R,18.0
101912,2019,R,299.0,R,381.0,R,78.0,R,316.0,R,0.0,R,0.0,R,316.0,R,225.0,R,71.0,R,2.0,R,0.0,R,0.0,R,2.0,R,1.0,R,50.0,R,11.0
101994,2019,R,59.0,R,238.0,R,25.0,R,68.0,R,0.0,R,0.0,R,68.0,R,34.0,R,50.0,R,7.0,R,0.0,R,0.0,R,7.0,R,4.0,R,57.0,R,11.0
102030,2019,R,588.0,R,1355.0,R,43.0,R,624.0,R,0.0,R,0.0,R,624.0,R,319.0,R,51.0,R,209.0,R,0.0,R,0.0,R,209.0,R,52.0,R,25.0,R,19.0
102049,2019,R,900.0,R,990.0,R,91.0,R,958.0,R,0.0,R,0.0,R,958.0,R,855.0,R,89.0,A,,A,,A,,A,,A,,A,,R,12.0
102058,2019,R,50.0,R,191.0,R,26.0,R,49.0,R,0.0,R,0.0,R,49.0,R,16.0,R,33.0,R,1.0,R,0.0,R,0.0,R,1.0,R,1.0,R,100.0,R,13.0
102067,2019,R,789.0,R,1665.0,R,47.0,R,757.0,R,0.0,R,0.0,R,757.0,R,497.0,R,66.0,R,306.0,R,0.0,R,0.0,R,306.0,R,112.0,R,37.0,R,19.0
102076,2019,R,577.0,R,1163.0,R,50.0,R,449.0,R,0.0,R,0.0,R,449.0,R,279.0,R,62.0,R,60.0,R,0.0,R,0.0,R,60.0,R,22.0,R,37.0,R,20.0
102094,2019,R,1600.0,R,2549.0,R,63.0,R,1889.0,R,0.0,R,0.0,R,1889.0,R,1400.0,R,74.0,R,18.0,R,0.0,R,0.0,R,18.0,R,8.0,R,44.0,R,17.0
102234,2019,R,292.0,R,350.0,R,83.0,R,309.0,R,0.0,R,0.0,R,309.0,R,215.0,R,70.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,13.0
102270,2019,R,231.0,R,349.0,R,66.0,R,144.0,R,0.0,R,0.0,R,144.0,R,91.0,R,63.0,R,1.0,R,0.0,R,0.0,R,1.0,R,0.0,R,0.0,R,18.0
