UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2014,R,1194.0,R,1392.0,R,86.0,R,1066.0,R,0.0,R,1066.0,R,703.0,R,66.0,R,15.0,R,0.0,R,15.0,R,5.0,R,33.0,R,20.0
100663,2014,R,1719.0,R,3410.0,R,50.0,R,1730.0,R,1.0,R,1729.0,R,1433.0,R,83.0,R,40.0,R,0.0,R,40.0,R,23.0,R,58.0,R,18.0
100690,2014,R,6.0,R,12.0,R,50.0,R,3.0,Z,0.0,R,3.0,R,0.0,R,0.0,R,3.0,Z,0.0,R,3.0,R,2.0,R,67.0,R,10.0
100706,2014,R,714.0,R,1503.0,R,48.0,R,638.0,R,0.0,R,638.0,R,491.0,R,77.0,R,13.0,R,0.0,R,13.0,R,8.0,R,62.0,R,16.0
100724,2014,R,1068.0,R,1212.0,R,88.0,R,1518.0,R,0.0,R,1518.0,R,869.0,R,57.0,R,25.0,Z,0.0,R,25.0,R,7.0,R,28.0,R,16.0
100751,2014,R,6794.0,R,8615.0,R,79.0,R,6428.0,R,39.0,R,6389.0,R,5539.0,R,87.0,R,26.0,R,1.0,R,25.0,R,15.0,R,60.0,R,21.0
100760,2014,R,518.0,R,782.0,R,66.0,R,470.0,R,0.0,R,470.0,R,231.0,R,49.0,R,91.0,R,0.0,R,91.0,R,46.0,R,51.0,R,17.0
100812,2014,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,16.0
100830,2014,R,637.0,R,1196.0,R,53.0,R,589.0,R,0.0,R,589.0,R,384.0,R,65.0,R,82.0,R,0.0,R,82.0,R,30.0,R,37.0,R,15.0
100858,2014,R,4552.0,R,5955.0,R,76.0,R,3693.0,R,0.0,R,3693.0,R,3343.0,R,91.0,R,30.0,R,0.0,R,30.0,R,18.0,R,60.0,R,17.0
100937,2014,R,352.0,R,381.0,R,92.0,R,356.0,R,0.0,R,356.0,R,298.0,R,84.0,A,,A,,A,,A,,A,,R,13.0
101028,2014,R,338.0,R,746.0,R,45.0,R,333.0,R,0.0,R,333.0,R,177.0,R,53.0,R,88.0,R,0.0,R,88.0,R,26.0,R,30.0,R,18.0
101073,2014,R,47.0,R,245.0,R,19.0,R,147.0,R,0.0,R,147.0,R,77.0,R,52.0,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,R,18.0
101116,2014,R,31.0,R,152.0,R,20.0,R,16.0,Z,0.0,R,16.0,R,8.0,R,50.0,R,7.0,Z,0.0,R,7.0,R,2.0,R,29.0,R,10.0
101143,2014,R,316.0,R,814.0,R,39.0,R,340.0,R,0.0,R,340.0,R,171.0,R,50.0,R,74.0,R,0.0,R,74.0,R,27.0,R,36.0,R,18.0
101161,2014,R,970.0,R,1861.0,R,52.0,R,1078.0,R,0.0,R,1078.0,R,650.0,R,60.0,R,210.0,R,0.0,R,210.0,R,74.0,R,35.0,R,25.0
101189,2014,R,385.0,R,1102.0,R,35.0,R,287.0,Z,0.0,R,287.0,R,173.0,R,60.0,R,6.0,Z,0.0,R,6.0,R,2.0,R,33.0,R,18.0
101240,2014,R,1044.0,R,1855.0,R,56.0,R,1143.0,R,0.0,R,1143.0,R,601.0,R,53.0,R,245.0,R,0.0,R,245.0,R,102.0,R,42.0,R,18.0
101277,2014,A,,A,,A,,R,39.0,R,0.0,R,39.0,R,32.0,R,82.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,19.0
101286,2014,R,858.0,R,1883.0,R,46.0,R,840.0,R,0.0,R,840.0,R,473.0,R,56.0,R,204.0,R,0.0,R,204.0,R,94.0,R,46.0,R,19.0
101295,2014,R,935.0,R,1776.0,R,53.0,R,997.0,R,0.0,R,997.0,R,631.0,R,63.0,R,197.0,R,0.0,R,197.0,R,95.0,R,48.0,R,16.0
101301,2014,R,383.0,R,687.0,R,56.0,R,371.0,R,0.0,R,371.0,R,226.0,R,61.0,R,37.0,R,0.0,R,37.0,R,15.0,R,41.0,R,14.0
101365,2014,R,27.0,R,141.0,R,19.0,R,2.0,Z,0.0,R,2.0,R,0.0,R,0.0,R,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,13.0
101435,2014,R,227.0,R,377.0,R,60.0,R,261.0,R,0.0,R,261.0,R,184.0,R,70.0,A,,A,,A,,A,,A,,R,15.0
