UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
202684,2010,R,104.0,R,384.0,R,27.0,R,11.0,R,0.0,R,11.0,R,8.0,R,73.0,R,10.0,R,0.0,R,10.0,R,4.0,R,40.0,R,21
202736,2010,A,,A,,A,,R,34.0,R,0.0,R,34.0,R,25.0,R,74.0,R,9.0,R,0.0,R,9.0,R,7.0,R,78.0,R,19
202763,2010,R,661.0,R,2208.0,R,30.0,R,623.0,R,0.0,R,623.0,R,459.0,R,74.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,15
202806,2010,R,100.0,R,1733.0,R,6.0,R,102.0,R,0.0,R,102.0,R,35.0,R,34.0,R,82.0,R,0.0,R,82.0,R,21.0,R,26.0,R,18
202888,2010,A,,A,,A,,R,25.0,R,0.0,R,25.0,R,21.0,R,84.0,R,15.0,R,0.0,R,15.0,R,13.0,R,87.0,R,11
202903,2010,R,51.0,R,106.0,R,48.0,R,75.0,R,0.0,R,75.0,R,49.0,R,65.0,R,4.0,R,0.0,R,4.0,R,1.0,R,25.0,R,14
202912,2010,R,7.0,R,72.0,R,10.0,R,9.0,R,0.0,R,9.0,R,7.0,R,78.0,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,R,7
202949,2010,A,,A,,A,,R,146.0,R,0.0,R,146.0,R,118.0,R,81.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,A,,R,17
202985,2010,A,,A,,A,,R,41.0,R,0.0,R,41.0,R,27.0,R,66.0,R,6.0,R,0.0,R,6.0,R,6.0,R,100.0,R,29
203030,2010,A,,A,,A,,R,77.0,Z,0.0,R,77.0,R,54.0,R,70.0,R,15.0,Z,0.0,R,15.0,R,10.0,R,67.0,R,7
203085,2010,R,334.0,R,389.0,R,86.0,R,376.0,R,0.0,R,376.0,R,212.0,R,56.0,R,1.0,R,0.0,R,1.0,R,1.0,R,100.0,R,15
203128,2010,R,295.0,R,404.0,R,73.0,R,293.0,R,0.0,R,293.0,R,223.0,R,76.0,R,5.0,R,0.0,R,5.0,R,4.0,R,80.0,R,12
203146,2010,A,,A,,A,,R,82.0,Z,0.0,R,82.0,R,77.0,R,94.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,A,,R,14
203155,2010,R,1570.0,R,2958.0,R,53.0,R,1713.0,R,0.0,R,1713.0,R,711.0,R,42.0,R,331.0,R,0.0,R,331.0,R,84.0,R,25.0,R,18
