UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
183105,2020,R,98.0,R,269.0,R,36.0,R,129.0,R,0.0,R,0.0,R,129.0,R,90.0,R,70.0,R,65.0,R,0.0,R,0.0,R,65.0,R,36.0,R,55.0,R,8.0
183114,2020,R,35.0,R,305.0,R,11.0,R,49.0,R,0.0,R,0.0,R,49.0,R,25.0,R,51.0,R,93.0,R,0.0,R,0.0,R,93.0,R,46.0,R,49.0,R,4.0
183123,2020,R,99.0,R,300.0,R,33.0,R,138.0,R,0.0,R,0.0,R,138.0,R,72.0,R,52.0,R,39.0,R,0.0,R,0.0,R,39.0,R,14.0,R,36.0,R,9.0
183132,2020,R,227.0,R,796.0,R,29.0,R,293.0,Z,0.0,Z,0.0,R,293.0,R,183.0,R,62.0,R,216.0,Z,0.0,Z,0.0,R,216.0,R,120.0,R,56.0,R,12.0
183141,2020,R,202.0,R,542.0,R,37.0,R,189.0,Z,0.0,Z,0.0,R,189.0,R,116.0,R,61.0,R,133.0,R,0.0,R,0.0,R,133.0,R,55.0,R,41.0,R,8.0
183150,2020,R,199.0,R,667.0,R,30.0,R,243.0,R,0.0,Z,0.0,R,243.0,R,124.0,R,51.0,R,164.0,R,0.0,R,0.0,R,164.0,R,75.0,R,46.0,R,11.0
183202,2020,A,,A,,A,,R,13.0,Z,0.0,Z,0.0,R,13.0,R,12.0,R,92.0,R,0.0,Z,0.0,Z,0.0,R,0.0,R,0.0,A,,R,12.0
183211,2020,R,171.0,R,338.0,R,51.0,R,237.0,R,0.0,R,0.0,R,237.0,R,165.0,R,70.0,R,4.0,R,0.0,R,0.0,R,4.0,R,2.0,R,50.0,R,15.0
183239,2020,R,530.0,R,551.0,R,96.0,R,509.0,R,0.0,R,0.0,R,509.0,R,442.0,R,87.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,11.0
183248,2020,A,,A,,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,A,,A,,A,,A,,A,,A,,R,3.0
183257,2020,R,49.0,R,464.0,R,11.0,R,14.0,R,0.0,R,0.0,R,14.0,R,6.0,R,43.0,R,5.0,R,0.0,R,0.0,R,5.0,R,2.0,R,40.0,R,20.0
183275,2020,R,20.0,R,29.0,R,69.0,R,21.0,R,0.0,R,0.0,R,21.0,R,18.0,R,86.0,A,,A,,A,,A,,A,,A,,R,8.0
183488,2020,R,106.0,R,191.0,R,55.0,R,128.0,R,0.0,Z,0.0,R,128.0,R,82.0,R,64.0,R,2.0,R,0.0,Z,0.0,R,2.0,R,2.0,R,100.0,R,16.0
183600,2020,R,5.0,R,15.0,R,33.0,R,7.0,R,0.0,R,0.0,R,7.0,R,7.0,R,100.0,R,7.0,R,0.0,R,0.0,R,7.0,R,6.0,R,86.0,R,5.0
183655,2020,R,751.0,R,1253.0,R,60.0,R,838.0,R,0.0,Z,0.0,R,838.0,R,476.0,R,57.0,R,389.0,R,0.0,Z,0.0,R,389.0,R,144.0,R,37.0,R,23.0
183725,2020,A,,A,,A,,R,111.0,Z,0.0,Z,0.0,R,111.0,R,72.0,R,65.0,R,21.0,Z,0.0,Z,0.0,R,21.0,R,16.0,R,76.0,R,27.0
183743,2020,R,1608.0,R,3476.0,R,46.0,R,1963.0,R,0.0,Z,0.0,R,1963.0,R,1237.0,R,63.0,R,581.0,R,0.0,Z,0.0,R,581.0,R,259.0,R,45.0,R,20.0
183789,2020,R,350.0,R,684.0,R,51.0,R,76.0,R,0.0,R,0.0,R,76.0,R,49.0,R,64.0,R,4.0,R,0.0,R,0.0,R,4.0,R,3.0,R,75.0,R,17.0
183804,2020,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,20.0
183822,2020,R,354.0,R,477.0,R,74.0,R,400.0,R,0.0,Z,0.0,R,400.0,R,257.0,R,64.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,15.0
183859,2020,R,1435.0,R,3348.0,R,43.0,R,1729.0,R,0.0,Z,0.0,R,1729.0,R,1133.0,R,66.0,R,403.0,R,0.0,Z,0.0,R,403.0,R,246.0,R,61.0,R,22.0
183877,2020,R,1217.0,R,2302.0,R,53.0,R,1512.0,R,0.0,Z,0.0,R,1512.0,R,988.0,R,65.0,R,407.0,R,0.0,Z,0.0,R,407.0,R,149.0,R,37.0,R,24.0
183910,2020,R,445.0,R,527.0,R,84.0,R,445.0,R,0.0,Z,0.0,R,445.0,R,365.0,R,82.0,A,,A,,A,,A,,A,,A,,R,13.0
183938,2020,R,790.0,R,2322.0,R,34.0,R,1158.0,R,0.0,Z,0.0,R,1158.0,R,697.0,R,60.0,R,422.0,R,0.0,Z,0.0,R,422.0,R,152.0,R,36.0,R,20.0
183974,2020,R,230.0,R,410.0,R,56.0,R,200.0,R,0.0,R,0.0,R,200.0,R,145.0,R,73.0,R,5.0,R,0.0,R,0.0,R,5.0,R,3.0,R,60.0,R,10.0
183983,2020,A,,A,,A,,R,76.0,Z,0.0,Z,0.0,R,76.0,R,41.0,R,54.0,A,,A,,A,,A,,A,,A,,R,15.0
184056,2020,A,,A,,A,,R,103.0,R,0.0,R,0.0,R,103.0,R,79.0,R,77.0,R,23.0,R,0.0,R,0.0,R,23.0,R,21.0,R,91.0,R,15.0
184092,2020,A,,A,,A,,R,111.0,R,0.0,R,0.0,R,111.0,R,76.0,R,68.0,A,,A,,A,,A,,A,,A,,R,21.0
184180,2020,R,942.0,R,2233.0,R,42.0,R,1038.0,R,0.0,Z,0.0,R,1038.0,R,737.0,R,71.0,R,504.0,R,0.0,Z,0.0,R,504.0,R,263.0,R,52.0,R,17.0
184205,2020,R,359.0,R,596.0,R,60.0,R,564.0,R,0.0,Z,0.0,R,564.0,R,350.0,R,62.0,R,201.0,R,0.0,Z,0.0,R,201.0,R,83.0,R,41.0,R,17.0
184278,2020,A,,A,,A,,R,31.0,R,0.0,R,0.0,R,31.0,R,28.0,R,90.0,A,,A,,A,,A,,A,,A,,R,6.0
184348,2020,R,343.0,R,481.0,R,71.0,R,400.0,R,0.0,R,0.0,R,400.0,R,350.0,R,88.0,A,,A,,A,,A,,A,,A,,R,12.0
184427,2020,A,,A,,A,,R,52.0,R,0.0,R,0.0,R,52.0,R,42.0,R,81.0,R,50.0,R,0.0,R,0.0,R,50.0,R,25.0,R,50.0,R,13.0
