UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2022,R,1547.0,R,1771.0,R,87.0,R,1417.0,R,0.0,R,0.0,R,1417.0,R,840.0,R,59.0,R,60.0,R,0.0,R,0.0,R,60.0,R,15.0,R,25.0,R,19.0
100663,2022,R,2172.0,R,3477.0,R,62.0,R,2353.0,R,3.0,R,0.0,R,2350.0,R,1937.0,R,82.0,R,54.0,R,0.0,R,0.0,R,54.0,R,29.0,R,54.0,R,18.0
100690,2022,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,12.0
100706,2022,R,1154.0,R,1890.0,R,61.0,R,1191.0,R,0.0,R,0.0,R,1191.0,R,955.0,R,80.0,R,13.0,R,0.0,R,0.0,R,13.0,R,4.0,R,31.0,R,17.0
100724,2022,R,938.0,R,1067.0,R,88.0,R,797.0,R,0.0,R,0.0,R,797.0,R,475.0,R,60.0,R,93.0,R,0.0,R,0.0,R,93.0,R,19.0,R,20.0,R,14.0
100751,2022,R,7981.0,R,9538.0,R,84.0,R,7540.0,R,1.0,R,0.0,R,7539.0,R,6535.0,R,87.0,R,53.0,R,0.0,R,0.0,R,53.0,R,32.0,R,60.0,R,19.0
100760,2022,R,270.0,R,917.0,R,29.0,R,219.0,R,0.0,R,0.0,R,219.0,R,136.0,R,62.0,R,74.0,R,0.0,R,0.0,R,74.0,R,26.0,R,35.0,R,16.0
100812,2022,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,14.0
100830,2022,R,384.0,R,794.0,R,48.0,R,517.0,R,1.0,R,0.0,R,516.0,R,362.0,R,70.0,R,22.0,R,0.0,R,0.0,R,22.0,R,5.0,R,23.0,R,15.0
100858,2022,R,5282.0,R,6858.0,R,77.0,R,5254.0,R,5.0,R,0.0,R,5249.0,R,4830.0,R,92.0,R,57.0,R,1.0,R,0.0,R,56.0,R,41.0,R,73.0,R,20.0
100937,2022,R,244.0,R,271.0,R,90.0,R,244.0,R,0.0,R,0.0,R,244.0,R,189.0,R,77.0,A,,A,,A,,A,,A,,A,,R,10.0
101028,2022,R,191.0,R,839.0,R,23.0,R,172.0,R,0.0,R,0.0,R,172.0,R,105.0,R,61.0,R,99.0,R,0.0,R,0.0,R,99.0,R,21.0,R,21.0,R,15.0
101116,2022,R,13.0,R,87.0,R,15.0,R,6.0,R,0.0,R,0.0,R,6.0,R,1.0,R,17.0,R,4.0,R,0.0,R,0.0,R,4.0,R,0.0,R,0.0,R,13.0
101143,2022,R,354.0,R,1013.0,R,35.0,R,340.0,R,0.0,R,0.0,R,340.0,R,213.0,R,63.0,R,76.0,R,0.0,R,0.0,R,76.0,R,35.0,R,46.0,R,17.0
101161,2022,R,1191.0,R,3174.0,R,38.0,R,1047.0,R,0.0,R,0.0,R,1047.0,R,645.0,R,62.0,R,328.0,R,0.0,R,0.0,R,328.0,R,137.0,R,42.0,R,15.0
101189,2022,R,206.0,R,627.0,R,33.0,R,209.0,R,0.0,R,0.0,R,209.0,R,132.0,R,63.0,R,6.0,R,0.0,R,0.0,R,6.0,R,2.0,R,33.0,R,13.0
101240,2022,R,808.0,R,1919.0,R,42.0,R,625.0,R,0.0,R,0.0,R,625.0,R,407.0,R,65.0,R,206.0,R,0.0,R,0.0,R,206.0,R,85.0,R,41.0,R,17.0
101277,2022,A,,A,,A,,R,39.0,Z,0.0,R,0.0,R,39.0,R,22.0,R,56.0,A,,A,,A,,A,,A,,A,,R,7.0
101286,2022,R,494.0,R,1454.0,R,34.0,R,514.0,Z,0.0,Z,0.0,R,514.0,R,333.0,R,65.0,R,285.0,Z,0.0,Z,0.0,R,285.0,R,129.0,R,45.0,R,14.0
101295,2022,R,947.0,R,3166.0,R,30.0,R,961.0,R,0.0,R,0.0,R,961.0,R,636.0,R,66.0,R,319.0,R,0.0,R,0.0,R,319.0,R,157.0,R,49.0,R,19.0
101301,2022,R,238.0,R,1018.0,R,23.0,R,219.0,Z,0.0,Z,0.0,R,219.0,R,125.0,R,57.0,R,50.0,Z,0.0,Z,0.0,R,50.0,R,24.0,R,48.0,R,15.0
101365,2022,R,15.0,R,141.0,R,11.0,R,2.0,R,0.0,R,0.0,R,2.0,R,1.0,R,50.0,R,2.0,R,0.0,R,0.0,R,2.0,R,1.0,R,50.0,R,14.0
101435,2022,R,258.0,R,297.0,R,87.0,R,250.0,R,0.0,R,0.0,R,250.0,R,162.0,R,65.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,14.0
101453,2022,R,3.0,R,21.0,R,14.0,R,3.0,R,0.0,R,0.0,R,3.0,R,3.0,R,100.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,8.0
101462,2022,R,68.0,R,500.0,R,14.0,R,57.0,R,0.0,R,0.0,R,57.0,R,27.0,R,47.0,R,52.0,R,0.0,R,0.0,R,52.0,R,12.0,R,23.0,R,12.0
101471,2022,R,392.0,R,532.0,R,74.0,R,178.0,R,0.0,R,0.0,R,178.0,R,116.0,R,65.0,R,67.0,R,0.0,R,0.0,R,67.0,R,35.0,R,52.0,R,11.0
101480,2022,R,1911.0,R,3203.0,R,60.0,R,1782.0,R,0.0,R,0.0,R,1782.0,R,1170.0,R,66.0,R,36.0,R,0.0,R,0.0,R,36.0,R,10.0,R,28.0,R,19.0
101505,2022,R,770.0,R,4088.0,R,19.0,R,854.0,R,0.0,R,0.0,R,854.0,R,518.0,R,61.0,R,599.0,R,0.0,R,0.0,R,599.0,R,228.0,R,38.0,R,18.0
101514,2022,R,997.0,R,3199.0,R,31.0,R,886.0,R,0.0,R,0.0,R,886.0,R,570.0,R,64.0,R,738.0,R,0.0,R,0.0,R,738.0,R,316.0,R,43.0,R,20.0
101569,2022,R,422.0,R,1276.0,R,33.0,R,426.0,R,0.0,R,0.0,R,426.0,R,257.0,R,60.0,R,244.0,R,0.0,R,0.0,R,244.0,R,77.0,R,32.0,R,16.0
101587,2022,R,300.0,R,790.0,R,38.0,R,301.0,R,0.0,R,0.0,R,301.0,R,208.0,R,69.0,R,3.0,R,0.0,R,1.0,R,4.0,R,1.0,R,25.0,R,18.0
101602,2022,R,369.0,R,1287.0,R,29.0,R,383.0,R,0.0,R,0.0,R,383.0,R,244.0,R,64.0,R,47.0,R,0.0,R,0.0,R,47.0,R,20.0,R,43.0,R,16.0
101648,2022,R,195.0,R,212.0,R,92.0,R,179.0,R,0.0,R,0.0,R,179.0,R,73.0,R,41.0,A,,A,,A,,A,,A,,A,,R,11.0
101675,2022,R,296.0,R,414.0,R,71.0,R,380.0,R,0.0,R,0.0,R,380.0,R,218.0,R,57.0,R,4.0,R,0.0,R,0.0,R,4.0,R,2.0,R,50.0,R,14.0
101693,2022,R,272.0,R,655.0,R,42.0,R,250.0,R,0.0,Z,0.0,R,250.0,R,170.0,R,68.0,R,3.0,R,0.0,R,0.0,R,3.0,R,3.0,R,100.0,R,14.0
101709,2022,R,540.0,R,709.0,R,76.0,R,478.0,R,0.0,R,0.0,R,478.0,R,350.0,R,73.0,R,15.0,R,0.0,R,0.0,R,15.0,R,4.0,R,27.0,R,12.0
101736,2022,R,440.0,R,2189.0,R,20.0,R,408.0,R,0.0,R,0.0,R,408.0,R,261.0,R,64.0,R,183.0,R,0.0,R,0.0,R,183.0,R,82.0,R,45.0,R,16.0
101879,2022,R,1106.0,R,3271.0,R,34.0,R,985.0,R,0.0,R,0.0,R,985.0,R,752.0,R,76.0,R,28.0,R,0.0,R,0.0,R,28.0,R,8.0,R,29.0,R,18.0
101897,2022,R,430.0,R,1127.0,R,38.0,R,352.0,R,0.0,R,0.0,R,352.0,R,256.0,R,73.0,R,98.0,R,0.0,R,0.0,R,98.0,R,57.0,R,58.0,R,17.0
101912,2022,R,374.0,R,454.0,R,82.0,R,279.0,R,0.0,R,0.0,R,279.0,R,215.0,R,77.0,R,4.0,R,0.0,R,0.0,R,4.0,R,2.0,R,50.0,R,11.0
101994,2022,R,75.0,R,231.0,R,32.0,R,73.0,R,0.0,R,0.0,R,73.0,R,53.0,R,73.0,R,5.0,R,0.0,R,0.0,R,5.0,R,2.0,R,40.0,R,14.0
102030,2022,R,410.0,R,1462.0,R,28.0,R,342.0,R,0.0,R,0.0,R,342.0,R,209.0,R,61.0,R,132.0,R,0.0,R,0.0,R,132.0,R,44.0,R,33.0,R,18.0
102049,2022,R,972.0,R,1065.0,R,91.0,R,918.0,R,0.0,R,0.0,R,918.0,R,835.0,R,91.0,R,2.0,R,0.0,R,0.0,R,2.0,R,1.0,R,50.0,R,14.0
102058,2022,A,,A,,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,3.0,R,0.0,R,0.0,R,3.0,R,2.0,R,67.0,R,4.0
102067,2022,R,735.0,R,1911.0,R,38.0,R,663.0,R,0.0,R,0.0,R,663.0,R,413.0,R,62.0,R,232.0,R,0.0,R,0.0,R,232.0,R,79.0,R,34.0,R,17.0
102076,2022,R,502.0,R,1508.0,R,33.0,R,488.0,R,0.0,R,0.0,R,488.0,R,310.0,R,64.0,R,70.0,R,0.0,R,0.0,R,70.0,R,21.0,R,30.0,R,21.0
102094,2022,R,1599.0,R,2529.0,R,63.0,R,1749.0,R,0.0,R,0.0,R,1749.0,R,1203.0,R,69.0,R,24.0,R,0.0,R,0.0,R,24.0,R,7.0,R,29.0,R,16.0
102234,2022,R,225.0,R,282.0,R,80.0,R,215.0,R,0.0,R,0.0,R,215.0,R,174.0,R,81.0,R,1.0,R,0.0,R,0.0,R,1.0,R,0.0,R,0.0,R,12.0
102270,2022,R,123.0,R,220.0,R,56.0,R,109.0,R,0.0,R,0.0,R,109.0,R,69.0,R,63.0,R,4.0,R,0.0,R,0.0,R,4.0,R,4.0,R,100.0,R,15.0
102298,2022,R,113.0,R,172.0,R,66.0,R,216.0,R,0.0,R,0.0,R,216.0,R,164.0,R,76.0,R,9.0,R,0.0,R,0.0,R,9.0,R,9.0,R,100.0,R,22.0
102313,2022,R,264.0,R,868.0,R,30.0,R,259.0,Z,0.0,Z,0.0,R,259.0,R,149.0,R,58.0,R,130.0,Z,0.0,Z,0.0,R,130.0,R,46.0,R,35.0,R,17.0
102368,2022,R,1413.0,R,3040.0,R,46.0,R,1328.0,R,0.0,R,0.0,R,1328.0,R,993.0,R,75.0,R,200.0,R,0.0,R,0.0,R,200.0,R,58.0,R,29.0,R,16.0
102377,2022,R,533.0,R,602.0,R,89.0,R,545.0,R,0.0,R,0.0,R,545.0,R,412.0,R,76.0,R,6.0,Z,0.0,Z,0.0,R,6.0,R,4.0,R,67.0,R,7.0
102395,2022,A,,A,,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,1.0,R,0.0,R,0.0,R,1.0,R,1.0,R,100.0,R,11.0
102429,2022,R,505.0,R,1775.0,R,28.0,R,450.0,R,0.0,R,0.0,R,450.0,R,297.0,R,66.0,R,204.0,R,0.0,R,0.0,R,204.0,R,133.0,R,65.0,R,13.0
102553,2022,R,705.0,R,1772.0,R,40.0,R,489.0,Z,0.0,Z,0.0,R,489.0,R,324.0,R,66.0,R,152.0,Z,0.0,Z,0.0,R,152.0,R,71.0,R,47.0,R,11.0
102580,2022,R,3.0,R,13.0,R,23.0,R,4.0,R,0.0,R,0.0,R,4.0,R,1.0,R,25.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,3.0
102614,2022,R,561.0,R,1456.0,R,39.0,R,396.0,Z,0.0,Z,0.0,R,396.0,R,276.0,R,70.0,R,46.0,Z,0.0,Z,0.0,R,46.0,R,20.0,R,43.0,R,11.0
102632,2022,R,111.0,R,380.0,R,29.0,R,69.0,Z,0.0,Z,0.0,R,69.0,R,45.0,R,65.0,R,12.0,Z,0.0,Z,0.0,R,12.0,R,3.0,R,25.0,R,9.0
102669,2022,R,23.0,R,153.0,R,15.0,R,17.0,R,0.0,R,0.0,R,17.0,R,14.0,R,82.0,R,4.0,R,0.0,R,0.0,R,4.0,R,2.0,R,50.0,R,8.0
102711,2022,A,,A,,A,,R,65.0,R,0.0,R,0.0,R,65.0,R,55.0,R,85.0,R,152.0,R,0.0,R,0.0,R,152.0,R,118.0,R,78.0,R,12.0
102845,2022,A,,A,,A,,R,1.0,R,0.0,R,0.0,R,1.0,R,0.0,R,0.0,A,,A,,A,,A,,A,,A,,R,25.0
103501,2022,A,,A,,A,,R,211.0,R,0.0,R,0.0,R,211.0,R,153.0,R,73.0,A,,A,,A,,A,,A,,A,,R,15.0
103741,2022,A,,A,,A,,R,52.0,R,0.0,Z,0.0,R,52.0,R,44.0,R,85.0,R,9.0,R,0.0,Z,0.0,R,9.0,R,4.0,R,44.0,R,20.0
103893,2022,A,,A,,A,,R,272.0,R,0.0,R,0.0,R,272.0,R,181.0,R,67.0,A,,A,,A,,A,,A,,A,,R,27.0
103909,2022,A,,A,,A,,R,72.0,R,0.0,R,0.0,R,72.0,R,44.0,R,61.0,A,,A,,A,,A,,A,,A,,R,16.0
103927,2022,A,,A,,A,,R,123.0,R,0.0,R,0.0,R,123.0,R,92.0,R,75.0,A,,A,,A,,A,,A,,A,,R,25.0
103954,2022,A,,A,,A,,R,3.0,R,0.0,R,0.0,R,3.0,R,3.0,R,100.0,A,,A,,A,,A,,A,,A,,R,17.0
103963,2022,A,,A,,A,,R,93.0,R,1.0,R,0.0,R,92.0,R,55.0,R,60.0,A,,A,,A,,A,,A,,A,,R,22.0
104090,2022,A,,A,,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,A,,A,,A,,A,,A,,A,,R,24.0
104151,2022,R,14980.0,R,19762.0,R,76.0,R,14097.0,R,166.0,R,0.0,R,13931.0,R,11892.0,R,85.0,R,153.0,R,5.0,R,0.0,R,148.0,R,74.0,R,50.0,R,19.0
104160,2022,R,579.0,R,2499.0,R,23.0,R,515.0,R,0.0,R,0.0,R,515.0,R,327.0,R,63.0,R,1617.0,R,0.0,R,0.0,R,1617.0,R,674.0,R,42.0,R,20.0
104179,2022,R,6154.0,R,12552.0,R,49.0,R,6012.0,R,11.0,R,0.0,R,6001.0,R,5139.0,R,86.0,R,2471.0,R,0.0,R,0.0,R,2471.0,R,1645.0,R,67.0,R,17.0
104346,2022,R,367.0,R,2659.0,R,14.0,R,395.0,R,0.0,R,0.0,R,395.0,R,225.0,R,57.0,R,1256.0,R,0.0,R,0.0,R,1256.0,R,434.0,R,35.0,R,15.0
104391,2022,A,,A,,A,,R,44.0,R,0.0,R,0.0,R,44.0,R,37.0,R,84.0,A,,A,,A,,A,,A,,A,,R,18.0
104425,2022,R,511.0,R,1021.0,R,50.0,R,528.0,R,0.0,R,0.0,R,528.0,R,368.0,R,70.0,R,187.0,R,0.0,R,0.0,R,187.0,R,91.0,R,49.0,R,15.0
104443,2022,A,,A,,A,,R,11.0,R,0.0,Z,0.0,R,11.0,R,9.0,R,82.0,R,4.0,R,0.0,Z,0.0,R,4.0,R,2.0,R,50.0,R,16.0
104568,2022,A,,A,,A,,R,154.0,R,0.0,R,0.0,R,154.0,R,149.0,R,97.0,R,110.0,R,0.0,R,0.0,R,110.0,R,97.0,R,88.0,R,21.0
104577,2022,R,510.0,R,1010.0,R,50.0,R,488.0,R,0.0,R,0.0,R,488.0,R,248.0,R,51.0,R,248.0,R,0.0,R,0.0,R,248.0,R,81.0,R,33.0,R,19.0
104586,2022,R,756.0,R,862.0,R,88.0,R,744.0,R,0.0,R,0.0,R,744.0,R,582.0,R,78.0,R,5.0,R,0.0,R,0.0,R,5.0,R,3.0,R,60.0,R,18.0
104708,2022,R,1200.0,R,5792.0,R,21.0,R,857.0,R,0.0,Z,0.0,R,857.0,R,572.0,R,67.0,R,722.0,R,0.0,Z,0.0,R,722.0,R,294.0,R,41.0,R,15.0
104717,2022,R,7401.0,R,21161.0,R,35.0,R,6722.0,R,0.0,Z,0.0,R,6722.0,R,4719.0,R,70.0,R,875.0,R,2.0,Z,0.0,R,873.0,R,335.0,R,38.0,R,20.0
105145,2022,R,224.0,R,2226.0,R,10.0,R,187.0,R,0.0,Z,0.0,R,187.0,R,102.0,R,55.0,R,212.0,R,0.0,Z,0.0,R,212.0,R,96.0,R,45.0,R,12.0
105154,2022,R,1228.0,R,7235.0,R,17.0,R,823.0,R,0.0,Z,0.0,R,823.0,R,523.0,R,64.0,R,675.0,R,0.0,Z,0.0,R,675.0,R,275.0,R,41.0,R,15.0
105206,2022,R,108.0,R,673.0,R,16.0,R,110.0,R,0.0,R,0.0,R,110.0,R,55.0,R,50.0,R,277.0,R,0.0,R,0.0,R,277.0,R,98.0,R,35.0,R,13.0
105215,2022,A,,A,,A,,R,144.0,R,2.0,R,0.0,R,142.0,R,108.0,R,76.0,A,,A,,A,,A,,A,,A,,R,30.0
105297,2022,R,123.0,R,258.0,R,48.0,R,5.0,R,0.0,R,0.0,R,5.0,R,5.0,R,100.0,R,3.0,R,0.0,R,0.0,R,3.0,R,2.0,R,67.0,R,15.0
105330,2022,R,5434.0,R,7388.0,R,74.0,R,4749.0,R,2.0,R,0.0,R,4747.0,R,3605.0,R,76.0,R,546.0,R,0.0,R,0.0,R,546.0,R,231.0,R,42.0,R,20.0
105349,2022,R,43.0,R,1260.0,R,3.0,R,25.0,R,0.0,R,0.0,R,25.0,R,10.0,R,40.0,R,61.0,R,0.0,R,0.0,R,61.0,R,17.0,R,28.0,R,11.0
105428,2022,R,578.0,R,4503.0,R,13.0,R,405.0,R,0.0,Z,0.0,R,405.0,R,271.0,R,67.0,R,392.0,R,0.0,Z,0.0,R,392.0,R,177.0,R,45.0,R,12.0
105525,2022,R,1066.0,R,5087.0,R,21.0,R,855.0,R,1.0,R,0.0,R,854.0,R,584.0,R,68.0,R,1441.0,R,0.0,R,0.0,R,1441.0,R,749.0,R,52.0,R,19.0
105534,2022,A,,A,,A,,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,A,,A,,A,,A,,A,,A,,R,26.0
105543,2022,A,,A,,A,,R,121.0,R,0.0,R,0.0,R,121.0,R,77.0,R,64.0,A,,A,,A,,A,,A,,A,,R,18.0
105589,2022,R,32.0,R,67.0,R,48.0,R,36.0,R,0.0,R,0.0,R,36.0,R,19.0,R,53.0,R,1.0,R,0.0,R,0.0,R,1.0,R,1.0,R,100.0,R,9.0
105659,2022,A,,A,,A,,R,343.0,R,1.0,R,0.0,R,342.0,R,271.0,R,79.0,A,,A,,A,,A,,A,,A,,R,34.0
105668,2022,R,162.0,R,8608.0,R,2.0,R,93.0,R,0.0,Z,0.0,R,93.0,R,56.0,R,60.0,R,169.0,R,0.0,Z,0.0,R,169.0,R,72.0,R,43.0,R,28.0
105677,2022,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,6.0
105747,2022,R,399.0,R,3344.0,R,12.0,R,309.0,R,0.0,Z,0.0,R,309.0,R,194.0,R,63.0,R,245.0,R,0.0,Z,0.0,R,245.0,R,102.0,R,42.0,R,14.0
105792,2022,R,312.0,R,1976.0,R,16.0,R,229.0,R,0.0,Z,0.0,R,229.0,R,125.0,R,55.0,R,162.0,R,0.0,Z,0.0,R,162.0,R,59.0,R,36.0,R,14.0
105899,2022,R,295.0,R,424.0,R,70.0,R,300.0,R,0.0,R,0.0,R,300.0,R,181.0,R,60.0,R,11.0,R,0.0,R,0.0,R,11.0,R,6.0,R,55.0,R,15.0
106041,2022,A,,A,,A,,R,475.0,R,5.0,R,0.0,R,470.0,R,376.0,R,80.0,A,,A,,A,,A,,A,,A,,R,38.0
106148,2022,R,484.0,R,2555.0,R,19.0,R,500.0,R,0.0,R,0.0,R,500.0,R,320.0,R,64.0,R,642.0,R,0.0,R,0.0,R,642.0,R,256.0,R,40.0,R,18.0
106245,2022,R,523.0,R,1934.0,R,27.0,R,416.0,R,0.0,R,0.0,R,416.0,R,310.0,R,75.0,R,29.0,R,0.0,R,0.0,R,29.0,R,13.0,R,45.0,R,11.0
106263,2022,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,20.0
106306,2022,R,136.0,R,218.0,R,62.0,R,128.0,R,0.0,R,0.0,R,128.0,R,25.0,R,20.0,R,20.0,R,0.0,R,0.0,R,20.0,R,4.0,R,20.0,R,23.0
106315,2022,A,,A,,A,,R,9.0,R,0.0,R,0.0,R,9.0,R,6.0,R,67.0,A,,A,,A,,A,,A,,A,,R,20.0
106324,2022,A,,A,,A,,R,15.0,R,0.0,R,0.0,R,15.0,R,7.0,R,47.0,R,10.0,R,0.0,R,0.0,R,10.0,R,4.0,R,40.0,R,8.0
106342,2022,R,144.0,R,187.0,R,77.0,R,138.0,R,0.0,R,0.0,R,138.0,R,70.0,R,51.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,9.0
106351,2022,A,,A,,A,,R,8.0,R,1.0,R,0.0,R,7.0,R,3.0,R,43.0,A,,A,,A,,A,,A,,A,,R,25.0
106360,2022,A,,A,,A,,R,2.0,R,0.0,R,0.0,R,2.0,R,1.0,R,50.0,A,,A,,A,,A,,A,,A,,R,16.0
106397,2022,R,7063.0,R,8752.0,R,81.0,R,6012.0,R,0.0,Z,0.0,R,6012.0,R,5145.0,R,86.0,R,51.0,R,0.0,Z,0.0,R,51.0,R,31.0,R,61.0,R,20.0
106412,2022,R,504.0,R,709.0,R,71.0,R,590.0,R,1.0,R,0.0,R,589.0,R,347.0,R,59.0,R,87.0,R,0.0,R,0.0,R,87.0,R,18.0,R,21.0,R,13.0
106449,2022,R,541.0,R,772.0,R,70.0,R,533.0,R,1.0,R,0.0,R,532.0,R,329.0,R,62.0,R,50.0,R,0.0,R,0.0,R,50.0,R,20.0,R,40.0,R,15.0
106458,2022,R,1240.0,R,2128.0,R,58.0,R,1199.0,R,0.0,Z,0.0,R,1199.0,R,930.0,R,78.0,R,69.0,R,0.0,Z,0.0,R,69.0,R,23.0,R,33.0,R,15.0
106467,2022,R,1385.0,R,1769.0,R,78.0,R,1078.0,Z,0.0,Z,0.0,R,1078.0,R,678.0,R,63.0,R,6.0,Z,0.0,Z,0.0,R,6.0,R,1.0,R,17.0,R,18.0
106485,2022,R,374.0,R,993.0,R,38.0,R,249.0,R,0.0,R,0.0,R,249.0,R,169.0,R,68.0,R,1.0,R,0.0,R,0.0,R,1.0,R,1.0,R,100.0,R,12.0
106494,2022,A,,A,,A,,R,11.0,R,0.0,R,0.0,R,11.0,R,8.0,R,73.0,A,,A,,A,,A,,A,,A,,R,19.0
106546,2022,R,4.0,R,207.0,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,A,,A,,A,,A,,A,,A,,R,8.0
106625,2022,R,251.0,R,375.0,R,67.0,R,244.0,Z,0.0,Z,0.0,R,244.0,R,152.0,R,62.0,R,43.0,Z,0.0,Z,0.0,R,43.0,R,20.0,R,47.0,R,16.0
106704,2022,R,1799.0,R,2355.0,R,76.0,R,1844.0,R,0.0,R,0.0,R,1844.0,R,1367.0,R,74.0,R,10.0,R,0.0,R,0.0,R,10.0,R,2.0,R,20.0,R,14.0
106713,2022,R,103.0,R,202.0,R,51.0,R,115.0,R,0.0,R,0.0,R,115.0,R,72.0,R,63.0,R,2.0,R,0.0,R,0.0,R,2.0,R,0.0,R,0.0,R,10.0
106795,2022,R,181.0,R,537.0,R,34.0,R,173.0,R,0.0,R,0.0,R,173.0,R,136.0,R,79.0,R,57.0,R,0.0,R,0.0,R,57.0,R,22.0,R,39.0,R,17.0
106810,2022,R,54.0,R,88.0,R,61.0,R,44.0,R,0.0,R,0.0,R,44.0,R,32.0,R,73.0,A,,A,,A,,A,,A,,A,,R,9.0
106883,2022,R,99.0,R,544.0,R,18.0,R,122.0,R,0.0,R,0.0,R,122.0,R,67.0,R,55.0,R,19.0,R,0.0,R,0.0,R,19.0,R,12.0,R,63.0,R,11.0
106908,2022,A,,A,,A,,R,48.0,Z,0.0,Z,0.0,R,48.0,R,42.0,R,88.0,R,1.0,Z,0.0,Z,0.0,R,1.0,R,1.0,R,100.0,R,15.0
106980,2022,R,474.0,R,706.0,R,67.0,R,502.0,R,0.0,R,0.0,R,502.0,R,271.0,R,54.0,R,79.0,R,0.0,R,0.0,R,79.0,R,28.0,R,35.0,R,14.0
106999,2022,R,186.0,R,283.0,R,66.0,R,179.0,R,0.0,R,0.0,R,179.0,R,80.0,R,45.0,R,23.0,R,0.0,R,0.0,R,23.0,R,6.0,R,26.0,R,13.0
107044,2022,R,801.0,R,1119.0,R,72.0,R,744.0,R,0.0,R,1.0,R,745.0,R,629.0,R,84.0,R,2.0,R,0.0,R,3.0,R,5.0,R,2.0,R,40.0,R,15.0
107071,2022,R,404.0,R,539.0,R,75.0,R,362.0,R,0.0,R,0.0,R,362.0,R,207.0,R,57.0,R,2.0,R,0.0,R,0.0,R,2.0,R,0.0,R,0.0,R,16.0
107080,2022,R,363.0,R,377.0,R,96.0,R,315.0,R,0.0,R,0.0,R,315.0,R,249.0,R,79.0,A,,A,,A,,A,,A,,A,,R,11.0
