UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2012,R,1001.0,R,1171.0,R,85.0,R,841.0,R,0.0,R,841.0,R,569.0,R,68.0,R,12.0,R,0.0,R,12.0,R,7.0,R,58.0,R,17
100663,2012,R,1654.0,R,3119.0,R,53.0,R,1578.0,R,0.0,R,1578.0,R,1261.0,R,80.0,R,28.0,R,0.0,R,28.0,R,17.0,R,61.0,R,18
100690,2012,R,9.0,R,13.0,R,69.0,R,8.0,R,0.0,R,8.0,R,6.0,R,75.0,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,R,10
100706,2012,R,615.0,R,1434.0,R,43.0,R,652.0,R,0.0,R,652.0,R,517.0,R,79.0,R,25.0,R,0.0,R,25.0,R,13.0,R,52.0,R,16
100724,2012,R,1436.0,R,1681.0,R,85.0,R,1100.0,R,0.0,R,1100.0,R,677.0,R,62.0,R,6.0,R,0.0,R,6.0,R,3.0,R,50.0,R,16
100751,2012,R,6338.0,R,8083.0,R,78.0,R,5703.0,R,37.0,R,5666.0,R,4837.0,R,85.0,R,25.0,R,1.0,R,24.0,R,15.0,R,63.0,R,20
100760,2012,R,886.0,R,1691.0,R,52.0,R,587.0,Z,0.0,R,587.0,R,301.0,R,51.0,R,116.0,Z,0.0,R,116.0,R,43.0,R,37.0,R,18
100812,2012,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,17
100830,2012,R,596.0,R,989.0,R,60.0,R,595.0,Z,0.0,R,595.0,R,349.0,R,59.0,R,122.0,R,0.0,R,122.0,R,49.0,R,40.0,R,16
100858,2012,R,3815.0,R,5052.0,R,76.0,R,4164.0,R,0.0,R,4164.0,R,3748.0,R,90.0,R,31.0,R,0.0,R,31.0,R,18.0,R,58.0,R,18
100937,2012,R,327.0,R,354.0,R,92.0,R,278.0,R,0.0,R,278.0,R,224.0,R,81.0,A,,A,,A,,A,,A,,R,13
101028,2012,R,364.0,R,773.0,R,47.0,R,312.0,R,0.0,R,312.0,R,154.0,R,49.0,R,93.0,R,0.0,R,93.0,R,33.0,R,35.0,R,18
101073,2012,R,156.0,R,231.0,R,68.0,R,151.0,R,0.0,R,151.0,R,75.0,R,50.0,R,5.0,R,0.0,R,5.0,R,3.0,R,60.0,R,19
101116,2012,R,52.0,R,228.0,R,23.0,R,25.0,R,0.0,R,25.0,R,11.0,R,44.0,R,12.0,Z,0.0,R,12.0,R,1.0,R,8.0,R,16
101143,2012,R,292.0,R,966.0,R,30.0,R,488.0,R,0.0,R,488.0,R,254.0,R,52.0,R,80.0,R,0.0,R,80.0,R,35.0,R,44.0,R,17
101161,2012,R,971.0,R,1776.0,R,55.0,R,906.0,R,0.0,R,906.0,R,481.0,R,53.0,R,242.0,R,0.0,R,242.0,R,82.0,R,34.0,R,25
101189,2012,R,349.0,R,1068.0,R,33.0,R,310.0,R,0.0,R,310.0,R,177.0,R,57.0,R,17.0,R,0.0,R,17.0,R,5.0,R,29.0,R,15
101240,2012,R,993.0,R,1890.0,R,53.0,R,1380.0,R,0.0,R,1380.0,R,723.0,R,52.0,R,312.0,R,0.0,R,312.0,R,124.0,R,40.0,R,20
101277,2012,A,,A,,A,,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,A,,A,,A,,A,,A,,R,17
101286,2012,R,838.0,R,1710.0,R,49.0,R,974.0,R,1.0,R,973.0,R,469.0,R,48.0,R,242.0,R,1.0,R,241.0,R,90.0,R,37.0,R,19
101295,2012,R,961.0,R,1658.0,R,58.0,R,896.0,R,0.0,R,896.0,R,555.0,R,62.0,R,151.0,R,0.0,R,151.0,R,73.0,R,48.0,R,19
101301,2012,R,337.0,R,635.0,R,53.0,R,376.0,R,0.0,R,376.0,R,202.0,R,54.0,R,67.0,R,0.0,R,67.0,R,18.0,R,27.0,R,17
101365,2012,R,28.0,R,88.0,R,32.0,R,4.0,R,0.0,R,4.0,R,2.0,R,50.0,R,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,13
101435,2012,R,276.0,R,391.0,R,71.0,R,256.0,R,1.0,R,255.0,R,141.0,R,55.0,R,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,13
101453,2012,R,2.0,R,21.0,R,10.0,R,4.0,R,0.0,R,4.0,R,1.0,R,25.0,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,R,6
101462,2012,R,123.0,R,619.0,R,20.0,R,166.0,R,0.0,R,166.0,R,57.0,R,34.0,R,83.0,R,0.0,R,83.0,R,23.0,R,28.0,R,15
101471,2012,R,190.0,R,245.0,R,78.0,R,267.0,R,0.0,R,267.0,R,144.0,R,54.0,R,11.0,R,0.0,R,11.0,R,10.0,R,91.0,R,12
101480,2012,R,1302.0,R,2222.0,R,59.0,R,1384.0,R,0.0,R,1384.0,R,924.0,R,67.0,R,30.0,R,0.0,R,30.0,R,14.0,R,47.0,R,18
101499,2012,R,274.0,R,458.0,R,60.0,R,274.0,R,0.0,R,274.0,R,132.0,R,48.0,R,90.0,R,0.0,R,90.0,R,27.0,R,30.0,R,18
101505,2012,R,1062.0,R,3396.0,R,31.0,R,1271.0,R,0.0,R,1271.0,R,611.0,R,48.0,R,589.0,R,0.0,R,589.0,R,242.0,R,41.0,R,20
101514,2012,R,1370.0,R,3819.0,R,36.0,R,1311.0,R,0.0,R,1311.0,R,701.0,R,53.0,R,675.0,R,0.0,R,675.0,R,299.0,R,44.0,R,26
101541,2012,R,77.0,R,126.0,R,61.0,R,75.0,Z,0.0,R,75.0,R,53.0,R,71.0,A,,A,,A,,A,,A,,R,9
101569,2012,R,617.0,R,1225.0,R,50.0,R,894.0,R,0.0,R,894.0,R,382.0,R,43.0,R,185.0,R,0.0,R,185.0,R,53.0,R,29.0,R,18
101587,2012,R,384.0,R,698.0,R,55.0,R,348.0,Z,0.0,R,348.0,R,198.0,R,57.0,R,5.0,Z,0.0,R,5.0,R,2.0,R,40.0,R,16
101602,2012,R,349.0,R,661.0,R,53.0,R,377.0,R,0.0,R,377.0,R,191.0,R,51.0,R,59.0,R,0.0,R,59.0,R,22.0,R,37.0,R,17
101648,2012,R,244.0,R,265.0,R,92.0,R,271.0,R,0.0,R,271.0,R,84.0,R,31.0,A,,A,,A,,A,,A,,R,14
101675,2012,R,431.0,R,589.0,R,73.0,R,385.0,R,1.0,R,384.0,R,198.0,R,52.0,R,9.0,R,0.0,R,9.0,R,4.0,R,44.0,R,15
101693,2012,R,227.0,R,408.0,R,56.0,R,245.0,R,1.0,R,244.0,R,178.0,R,73.0,R,2.0,R,0.0,R,2.0,R,0.0,R,0.0,R,12
101709,2012,R,539.0,R,726.0,R,74.0,R,497.0,R,1.0,R,496.0,R,386.0,R,78.0,R,10.0,R,0.0,R,10.0,R,3.0,R,30.0,R,16
101736,2012,R,722.0,R,1330.0,R,54.0,R,756.0,R,0.0,R,756.0,R,356.0,R,47.0,R,137.0,R,0.0,R,137.0,R,56.0,R,41.0,R,22
101879,2012,R,1057.0,R,1679.0,R,63.0,R,916.0,R,0.0,R,916.0,R,629.0,R,69.0,R,13.0,R,0.0,R,13.0,R,7.0,R,54.0,R,21
101897,2012,R,604.0,R,1134.0,R,53.0,R,641.0,R,0.0,R,641.0,R,383.0,R,60.0,R,133.0,R,0.0,R,133.0,R,64.0,R,48.0,R,23
101912,2012,R,408.0,R,514.0,R,79.0,R,386.0,R,0.0,R,386.0,R,292.0,R,76.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,14
101949,2012,R,363.0,R,598.0,R,61.0,R,424.0,R,0.0,R,424.0,R,213.0,R,50.0,R,49.0,R,0.0,R,49.0,R,18.0,R,37.0,R,13
101958,2012,R,6.0,R,6.0,R,100.0,R,1.0,R,0.0,R,1.0,R,1.0,R,100.0,A,,A,,A,,A,,A,,R,17
101994,2012,R,84.0,R,199.0,R,42.0,R,112.0,R,0.0,R,112.0,R,51.0,R,46.0,R,5.0,R,0.0,R,5.0,R,2.0,R,40.0,R,13
102030,2012,R,740.0,R,1653.0,R,45.0,R,727.0,R,0.0,R,727.0,R,266.0,R,37.0,R,206.0,R,0.0,R,206.0,R,57.0,R,28.0,R,23
102049,2012,R,701.0,R,847.0,R,83.0,R,684.0,R,0.0,R,684.0,R,592.0,R,87.0,R,2.0,R,0.0,R,2.0,R,2.0,R,100.0,R,11
102058,2012,R,185.0,R,429.0,R,43.0,R,120.0,R,0.0,R,120.0,R,45.0,R,38.0,R,15.0,R,0.0,R,15.0,R,5.0,R,33.0,R,16
102067,2012,R,855.0,R,1721.0,R,50.0,R,664.0,R,0.0,R,664.0,R,353.0,R,53.0,R,220.0,R,0.0,R,220.0,R,87.0,R,40.0,R,22
102076,2012,R,651.0,R,1078.0,R,60.0,R,592.0,R,0.0,R,592.0,R,374.0,R,63.0,R,107.0,R,0.0,R,107.0,R,37.0,R,35.0,R,26
102094,2012,R,1888.0,R,2990.0,R,63.0,R,1826.0,R,0.0,R,1826.0,R,1202.0,R,66.0,R,64.0,R,0.0,R,64.0,R,28.0,R,44.0,R,21
102234,2012,R,298.0,R,358.0,R,83.0,R,335.0,R,0.0,R,335.0,R,248.0,R,74.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,13
102261,2012,R,15.0,R,58.0,R,26.0,R,11.0,R,0.0,R,11.0,R,7.0,R,64.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,11
102270,2012,R,270.0,R,428.0,R,63.0,R,287.0,R,0.0,R,287.0,R,176.0,R,61.0,R,18.0,R,0.0,R,18.0,R,0.0,R,0.0,R,19
102298,2012,R,207.0,R,260.0,R,80.0,R,184.0,R,0.0,R,184.0,R,72.0,R,39.0,R,17.0,R,0.0,R,17.0,R,10.0,R,59.0,R,15
102313,2012,R,241.0,R,548.0,R,44.0,R,298.0,R,0.0,R,298.0,R,135.0,R,45.0,R,150.0,R,0.0,R,150.0,R,47.0,R,31.0,R,13
102368,2012,R,1444.0,R,3514.0,R,41.0,R,1663.0,R,0.0,R,1663.0,R,1202.0,R,72.0,R,833.0,R,0.0,R,833.0,R,354.0,R,42.0,R,18
102377,2012,R,653.0,R,717.0,R,91.0,R,816.0,R,0.0,R,816.0,R,594.0,R,73.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,12
102395,2012,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,12
102429,2012,R,747.0,R,1391.0,R,54.0,R,808.0,R,0.0,R,808.0,R,432.0,R,53.0,R,185.0,R,0.0,R,185.0,R,86.0,R,46.0,R,17
102553,2012,R,1447.0,R,2932.0,R,49.0,R,1097.0,Z,0.0,R,1097.0,R,784.0,R,71.0,R,277.0,Z,0.0,R,277.0,R,147.0,R,53.0,R,15
102580,2012,R,12.0,R,37.0,R,32.0,R,2.0,Z,0.0,R,2.0,R,1.0,R,50.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,4
102614,2012,R,761.0,R,2165.0,R,35.0,R,475.0,Z,0.0,R,475.0,R,352.0,R,74.0,R,25.0,Z,0.0,R,25.0,R,17.0,R,68.0,R,12
102632,2012,R,194.0,R,708.0,R,27.0,R,115.0,Z,0.0,R,115.0,R,64.0,R,56.0,R,23.0,Z,0.0,R,23.0,R,6.0,R,26.0,R,13
102669,2012,R,28.0,R,137.0,R,20.0,R,17.0,R,0.0,R,17.0,R,11.0,R,65.0,R,5.0,R,0.0,R,5.0,R,1.0,R,20.0,R,7
102711,2012,A,,A,,A,,R,499.0,R,1.0,R,498.0,R,425.0,R,85.0,R,38.0,R,0.0,R,38.0,R,38.0,R,100.0,R,15
102845,2012,R,918.0,R,918.0,R,100.0,R,87.0,R,0.0,R,87.0,R,22.0,R,25.0,A,,A,,A,,A,,A,,R,11
103361,2012,R,10.0,R,84.0,R,12.0,R,17.0,Z,0.0,R,17.0,R,4.0,R,24.0,R,10.0,Z,0.0,R,10.0,R,1.0,R,10.0,R,17
103501,2012,A,,A,,A,,R,343.0,R,0.0,R,343.0,R,285.0,R,83.0,A,,A,,A,,A,,A,,R,14
103644,2012,A,,A,,A,,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,Z,0.0,A,,R,22
103723,2012,R,59.0,R,93.0,R,63.0,R,55.0,Z,0.0,R,55.0,R,24.0,R,44.0,R,30.0,Z,0.0,R,30.0,R,18.0,R,60.0,R,14
103732,2012,A,,A,,A,,R,27.0,Z,0.0,R,27.0,R,17.0,R,63.0,R,6.0,Z,0.0,R,6.0,R,4.0,R,67.0,R,14
103741,2012,A,,A,,A,,R,57.0,Z,0.0,R,57.0,R,40.0,R,70.0,R,14.0,Z,0.0,R,14.0,R,10.0,R,71.0,R,19
103778,2012,A,,A,,A,,A,,A,,A,,A,,A,,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,20
103787,2012,R,9.0,R,15.0,R,60.0,R,8.0,R,0.0,R,8.0,R,5.0,R,63.0,A,,A,,A,,A,,A,,R,7
103811,2012,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,7
103893,2012,A,,A,,A,,R,237.0,Z,0.0,R,237.0,R,181.0,R,76.0,A,,A,,A,,A,,A,,R,28
103909,2012,A,,A,,A,,R,195.0,Z,0.0,R,195.0,R,140.0,R,72.0,A,,A,,A,,A,,A,,R,25
103927,2012,A,,A,,A,,R,117.0,Z,0.0,R,117.0,R,79.0,R,68.0,A,,A,,A,,A,,A,,R,35
103945,2012,A,,A,,A,,R,20.0,R,0.0,R,20.0,R,12.0,R,60.0,A,,A,,A,,A,,A,,R,19
103954,2012,A,,A,,A,,R,6.0,R,0.0,R,6.0,R,6.0,R,100.0,A,,A,,A,,A,,A,,R,20
103963,2012,A,,A,,A,,R,183.0,R,1.0,R,182.0,R,107.0,R,59.0,A,,A,,A,,A,,A,,R,22
104090,2012,A,,A,,A,,R,56.0,R,0.0,R,56.0,R,18.0,R,32.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,30
104151,2012,R,8393.0,R,16662.0,R,50.0,R,9082.0,R,139.0,R,8943.0,R,7150.0,R,80.0,R,172.0,R,5.0,R,167.0,R,70.0,R,42.0,R,25
104160,2012,R,917.0,R,2084.0,R,44.0,R,904.0,R,0.0,R,904.0,R,581.0,R,64.0,R,1324.0,R,0.0,R,1324.0,R,535.0,R,40.0,R,22
104179,2012,R,6955.0,R,9551.0,R,73.0,R,6874.0,R,7.0,R,6867.0,R,5504.0,R,80.0,R,426.0,R,9.0,R,417.0,R,227.0,R,54.0,R,22
104188,2012,R,18.0,R,62.0,R,29.0,R,13.0,R,0.0,R,13.0,R,11.0,R,85.0,R,11.0,R,0.0,R,11.0,R,7.0,R,64.0,R,7
104294,2012,A,,A,,A,,R,88.0,R,0.0,R,88.0,R,66.0,R,75.0,R,10.0,R,0.0,R,10.0,R,7.0,R,70.0,R,16
