UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2021,R,1417.0,R,1692.0,R,84.0,R,1525.0,R,0.0,R,0.0,R,1525.0,R,884.0,R,58.0,R,10.0,R,0.0,R,0.0,R,10.0,R,4.0,R,40.0,R,18.0
100663,2021,R,2361.0,R,3766.0,R,63.0,R,2090.0,R,0.0,R,0.0,R,2090.0,R,1754.0,R,84.0,R,52.0,R,0.0,R,0.0,R,52.0,R,31.0,R,60.0,R,19.0
100690,2021,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,13.0
100706,2021,R,1191.0,R,2040.0,R,58.0,R,1328.0,R,0.0,R,0.0,R,1328.0,R,1049.0,R,79.0,R,17.0,R,0.0,R,0.0,R,17.0,R,3.0,R,18.0,R,19.0
100724,2021,R,797.0,R,1027.0,R,78.0,R,926.0,R,0.0,R,0.0,R,926.0,R,596.0,R,64.0,R,49.0,R,3.0,R,0.0,R,46.0,R,10.0,R,22.0,R,13.0
100751,2021,R,7540.0,R,9223.0,R,82.0,R,6466.0,R,2.0,R,0.0,R,6464.0,R,5724.0,R,89.0,R,41.0,R,0.0,R,0.0,R,41.0,R,22.0,R,54.0,R,19.0
100760,2021,R,219.0,R,817.0,R,27.0,R,225.0,R,0.0,R,0.0,R,225.0,R,143.0,R,64.0,R,53.0,R,0.0,R,0.0,R,53.0,R,13.0,R,25.0,R,15.0
100812,2021,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,14.0
100830,2021,R,517.0,R,1195.0,R,43.0,R,641.0,R,0.0,R,0.0,R,641.0,R,404.0,R,63.0,R,33.0,R,0.0,R,1.0,R,34.0,R,8.0,R,24.0,R,15.0
100858,2021,R,5254.0,R,6571.0,R,80.0,R,4869.0,R,6.0,Z,0.0,R,4863.0,R,4517.0,R,93.0,R,45.0,R,3.0,Z,0.0,R,42.0,R,35.0,R,83.0,R,20.0
100937,2021,R,244.0,R,269.0,R,91.0,R,256.0,R,0.0,R,0.0,R,256.0,R,200.0,R,78.0,A,,A,,A,,A,,A,,A,,R,10.0
101028,2021,R,172.0,R,609.0,R,28.0,R,190.0,R,0.0,Z,0.0,R,190.0,R,114.0,R,60.0,R,70.0,Z,0.0,Z,0.0,R,70.0,R,18.0,R,26.0,R,12.0
101116,2021,R,12.0,R,96.0,R,13.0,R,2.0,R,0.0,R,0.0,R,2.0,R,1.0,R,50.0,R,4.0,R,0.0,R,0.0,R,4.0,R,1.0,R,25.0,R,15.0
101143,2021,R,340.0,R,774.0,R,44.0,R,316.0,R,0.0,R,0.0,R,316.0,R,208.0,R,66.0,R,88.0,R,0.0,R,0.0,R,88.0,R,33.0,R,38.0,R,16.0
101161,2021,R,1047.0,R,3028.0,R,35.0,R,928.0,R,0.0,R,0.0,R,928.0,R,588.0,R,63.0,R,225.0,R,0.0,R,0.0,R,225.0,R,102.0,R,45.0,R,16.0
101189,2021,R,207.0,R,621.0,R,33.0,R,277.0,R,0.0,R,0.0,R,277.0,R,180.0,R,65.0,R,11.0,R,0.0,R,0.0,R,11.0,R,4.0,R,36.0,R,13.0
101240,2021,R,625.0,R,1808.0,R,35.0,R,637.0,R,0.0,R,0.0,R,637.0,R,379.0,R,59.0,R,179.0,R,0.0,R,0.0,R,179.0,R,59.0,R,33.0,R,15.0
101277,2021,A,,A,,A,,R,44.0,R,0.0,R,0.0,R,44.0,R,37.0,R,84.0,A,,A,,A,,A,,A,,A,,R,14.0
101286,2021,R,514.0,R,1499.0,R,34.0,R,382.0,Z,0.0,Z,0.0,R,382.0,R,253.0,R,66.0,R,215.0,Z,0.0,Z,0.0,R,215.0,R,112.0,R,52.0,R,14.0
101295,2021,R,961.0,R,2369.0,R,41.0,R,925.0,Z,0.0,Z,0.0,R,925.0,R,594.0,R,64.0,R,360.0,Z,0.0,Z,0.0,R,360.0,R,146.0,R,41.0,R,18.0
101301,2021,R,219.0,R,818.0,R,27.0,R,179.0,R,0.0,R,0.0,R,179.0,R,111.0,R,62.0,R,56.0,R,0.0,R,0.0,R,56.0,R,23.0,R,41.0,R,14.0
101365,2021,R,32.0,R,151.0,R,21.0,R,2.0,R,0.0,R,0.0,R,2.0,R,1.0,R,50.0,R,2.0,R,0.0,R,0.0,R,2.0,R,1.0,R,50.0,R,14.0
101435,2021,R,250.0,R,296.0,R,84.0,R,219.0,R,0.0,R,0.0,R,219.0,R,158.0,R,72.0,A,,A,,A,,A,,A,,A,,R,15.0
101453,2021,R,3.0,R,27.0,R,11.0,R,2.0,R,0.0,R,0.0,R,2.0,R,2.0,R,100.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,6.0
101462,2021,R,57.0,R,366.0,R,16.0,R,63.0,R,0.0,R,0.0,R,63.0,R,26.0,R,41.0,R,38.0,R,0.0,R,0.0,R,38.0,R,14.0,R,37.0,R,12.0
101471,2021,R,178.0,R,245.0,R,73.0,R,85.0,R,0.0,R,0.0,R,85.0,R,51.0,R,60.0,R,41.0,R,0.0,R,0.0,R,41.0,R,10.0,R,24.0,R,9.0
101480,2021,R,1782.0,R,2988.0,R,60.0,R,1290.0,R,0.0,R,0.0,R,1290.0,R,893.0,R,69.0,R,23.0,R,0.0,R,0.0,R,23.0,R,7.0,R,30.0,R,19.0
101505,2021,R,854.0,R,3877.0,R,22.0,R,938.0,R,0.0,R,0.0,R,938.0,R,549.0,R,59.0,R,555.0,R,0.0,R,0.0,R,555.0,R,239.0,R,43.0,R,19.0
101514,2021,R,886.0,R,3357.0,R,26.0,R,896.0,R,1.0,R,0.0,R,895.0,R,575.0,R,64.0,R,591.0,R,1.0,R,0.0,R,590.0,R,259.0,R,44.0,R,20.0
101569,2021,R,426.0,R,1214.0,R,35.0,R,455.0,R,1.0,R,0.0,R,454.0,R,282.0,R,62.0,R,235.0,R,0.0,R,0.0,R,235.0,R,89.0,R,38.0,R,17.0
101587,2021,R,301.0,R,770.0,R,39.0,R,245.0,R,1.0,R,0.0,R,244.0,R,153.0,R,63.0,R,9.0,R,0.0,R,0.0,R,9.0,R,6.0,R,67.0,R,14.0
101602,2021,R,383.0,R,950.0,R,40.0,R,279.0,R,0.0,R,0.0,R,279.0,R,175.0,R,63.0,R,35.0,R,0.0,R,0.0,R,35.0,R,16.0,R,46.0,R,16.0
101648,2021,R,179.0,R,180.0,R,99.0,R,255.0,R,1.0,Z,0.0,R,254.0,R,97.0,R,38.0,A,,A,,A,,A,,A,,A,,R,11.0
101675,2021,R,380.0,R,513.0,R,74.0,R,394.0,R,0.0,R,0.0,R,394.0,R,236.0,R,60.0,R,5.0,R,0.0,R,0.0,R,5.0,R,1.0,R,20.0,R,16.0
101693,2021,R,250.0,R,620.0,R,40.0,R,249.0,R,0.0,R,0.0,R,249.0,R,160.0,R,64.0,R,1.0,R,0.0,R,0.0,R,1.0,R,1.0,R,100.0,R,14.0
101709,2021,R,478.0,R,687.0,R,70.0,R,455.0,R,0.0,R,0.0,R,455.0,R,323.0,R,71.0,R,16.0,R,0.0,R,0.0,R,16.0,R,9.0,R,56.0,R,12.0
101736,2021,R,408.0,R,1573.0,R,26.0,R,487.0,R,0.0,R,0.0,R,487.0,R,315.0,R,65.0,R,155.0,R,0.0,R,0.0,R,155.0,R,70.0,R,45.0,R,17.0
101879,2021,R,985.0,R,2205.0,R,45.0,R,905.0,R,0.0,R,0.0,R,905.0,R,678.0,R,75.0,R,27.0,R,0.0,R,0.0,R,27.0,R,10.0,R,37.0,R,17.0
101897,2021,R,352.0,R,948.0,R,37.0,R,327.0,R,0.0,R,0.0,R,327.0,R,233.0,R,71.0,R,83.0,R,0.0,Z,0.0,R,83.0,R,40.0,R,48.0,R,16.0
101912,2021,R,280.0,R,347.0,R,81.0,R,303.0,R,0.0,R,0.0,R,303.0,R,222.0,R,73.0,R,0.0,Z,0.0,Z,0.0,R,0.0,R,0.0,A,,R,10.0
101994,2021,R,73.0,R,201.0,R,36.0,R,37.0,R,0.0,R,0.0,R,37.0,R,27.0,R,73.0,R,7.0,R,0.0,R,0.0,R,7.0,R,1.0,R,14.0,R,12.0
