UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2017,R,1288.0,R,1604.0,R,80.0,R,1410.0,R,0.0,R,0.0,R,1410.0,R,829.0,R,59.0,R,38.0,R,0.0,R,0.0,R,38.0,R,5.0,R,13.0,R,18.0
100663,2017,R,2228.0,R,3964.0,R,56.0,R,1931.0,R,0.0,R,0.0,R,1931.0,R,1629.0,R,84.0,R,73.0,R,0.0,R,0.0,R,73.0,R,32.0,R,44.0,R,19.0
100690,2017,R,5.0,R,240.0,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,11.0
100706,2017,R,1341.0,R,2260.0,R,59.0,R,1203.0,R,10.0,R,0.0,R,1193.0,R,984.0,R,82.0,R,9.0,R,1.0,R,0.0,R,8.0,R,3.0,R,38.0,R,16.0
100724,2017,R,951.0,R,1088.0,R,87.0,R,1143.0,R,0.0,R,0.0,R,1143.0,R,677.0,R,59.0,R,20.0,R,0.0,R,0.0,R,20.0,R,7.0,R,35.0,R,15.0
100751,2017,R,7385.0,R,9214.0,R,80.0,R,7541.0,R,3.0,R,0.0,R,7538.0,R,6565.0,R,87.0,R,18.0,R,0.0,R,0.0,R,18.0,R,10.0,R,56.0,R,23.0
100760,2017,R,349.0,R,791.0,R,44.0,R,340.0,R,0.0,R,0.0,R,340.0,R,215.0,R,63.0,R,48.0,R,0.0,R,0.0,R,48.0,R,19.0,R,40.0,R,20.0
100812,2017,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,15.0
100830,2017,R,627.0,R,1190.0,R,53.0,R,558.0,R,0.0,Z,0.0,R,558.0,R,381.0,R,68.0,R,35.0,R,0.0,R,0.0,R,35.0,R,16.0,R,46.0,R,16.0
100858,2017,R,4771.0,R,6446.0,R,74.0,R,4487.0,R,6.0,R,0.0,R,4481.0,R,4101.0,R,92.0,R,42.0,R,3.0,R,0.0,R,39.0,R,34.0,R,87.0,R,19.0
100937,2017,R,349.0,R,375.0,R,93.0,R,328.0,R,0.0,R,0.0,R,328.0,R,247.0,R,75.0,A,,A,,A,,A,,A,,A,,R,13.0
101028,2017,R,276.0,R,600.0,R,46.0,R,293.0,R,0.0,Z,0.0,R,293.0,R,161.0,R,55.0,R,66.0,R,0.0,Z,0.0,R,66.0,R,25.0,R,38.0,R,16.0
101073,2017,R,200.0,R,254.0,R,79.0,R,129.0,R,0.0,R,0.0,R,129.0,R,45.0,R,35.0,R,4.0,Z,0.0,Z,0.0,R,4.0,R,1.0,R,25.0,R,20.0
101116,2017,R,8.0,R,62.0,R,13.0,R,13.0,Z,0.0,Z,0.0,R,13.0,R,5.0,R,38.0,R,2.0,Z,0.0,Z,0.0,R,2.0,R,0.0,R,0.0,R,11.0
101143,2017,R,306.0,R,831.0,R,37.0,R,296.0,R,0.0,R,0.0,R,296.0,R,149.0,R,50.0,R,88.0,R,0.0,R,0.0,R,88.0,R,31.0,R,35.0,R,17.0
101161,2017,R,927.0,R,2112.0,R,44.0,R,1042.0,R,0.0,R,0.0,R,1042.0,R,622.0,R,60.0,R,204.0,R,0.0,R,0.0,R,204.0,R,75.0,R,37.0,R,25.0
101189,2017,R,311.0,R,1162.0,R,27.0,R,296.0,R,1.0,Z,0.0,R,295.0,R,171.0,R,58.0,R,16.0,R,0.0,R,0.0,R,16.0,R,6.0,R,38.0,R,15.0
101240,2017,R,888.0,R,1917.0,R,46.0,R,979.0,R,0.0,R,0.0,R,979.0,R,577.0,R,59.0,R,259.0,R,0.0,R,0.0,R,259.0,R,93.0,R,36.0,R,18.0
101277,2017,A,,A,,A,,R,61.0,Z,0.0,Z,0.0,R,61.0,R,53.0,R,87.0,A,,A,,A,,A,,A,,A,,R,15.0
101286,2017,R,705.0,R,1809.0,R,39.0,R,733.0,R,3.0,R,0.0,R,730.0,R,479.0,R,66.0,R,179.0,R,1.0,R,0.0,R,178.0,R,75.0,R,42.0,R,17.0
101295,2017,R,1003.0,R,1978.0,R,51.0,R,908.0,R,0.0,R,0.0,R,908.0,R,582.0,R,64.0,R,241.0,R,0.0,R,0.0,R,241.0,R,127.0,R,53.0,R,16.0
101301,2017,R,266.0,R,492.0,R,54.0,R,340.0,R,0.0,R,0.0,R,340.0,R,199.0,R,59.0,R,33.0,R,0.0,Z,0.0,R,33.0,R,11.0,R,33.0,R,13.0
101365,2017,R,8.0,R,133.0,R,6.0,R,2.0,R,0.0,R,0.0,R,2.0,R,1.0,R,50.0,R,2.0,R,0.0,R,0.0,R,2.0,R,1.0,R,50.0,R,12.0
