UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2011,R,841.0,R,1042.0,R,81.0,R,1110.0,R,0.0,R,1110.0,R,715.0,R,64.0,R,10.0,R,0.0,R,10.0,R,1.0,R,10.0,R,19
100663,2011,R,1578.0,R,2962.0,R,53.0,R,1542.0,R,0.0,R,1542.0,R,1214.0,R,79.0,R,29.0,R,0.0,R,29.0,R,18.0,R,62.0,R,18
100690,2011,R,8.0,R,11.0,R,73.0,R,4.0,R,0.0,R,4.0,R,3.0,R,75.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,11
100706,2011,R,652.0,R,1574.0,R,41.0,R,600.0,R,0.0,R,600.0,R,473.0,R,79.0,R,22.0,R,0.0,R,22.0,R,11.0,R,50.0,R,16
100724,2011,R,1102.0,R,1363.0,R,81.0,R,1090.0,R,0.0,R,1090.0,R,594.0,R,54.0,R,11.0,R,0.0,R,11.0,R,2.0,R,18.0,R,17
100751,2011,R,5703.0,R,7451.0,R,77.0,R,5489.0,R,44.0,R,5445.0,R,4707.0,R,86.0,R,30.0,R,0.0,R,30.0,R,15.0,R,50.0,R,19
100760,2011,R,587.0,R,938.0,R,63.0,R,594.0,R,0.0,R,594.0,R,362.0,R,61.0,R,94.0,R,0.0,R,94.0,R,34.0,R,36.0,R,13
100812,2011,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,17
100830,2011,R,709.0,R,1189.0,R,60.0,R,758.0,R,0.0,R,758.0,R,380.0,R,50.0,R,172.0,R,0.0,R,172.0,R,65.0,R,38.0,R,16
100858,2011,R,4170.0,R,5449.0,R,77.0,R,4076.0,R,0.0,R,4076.0,R,3619.0,R,89.0,R,20.0,R,0.0,R,20.0,R,14.0,R,70.0,R,18
100937,2011,R,278.0,R,305.0,R,91.0,R,368.0,R,0.0,R,368.0,R,290.0,R,79.0,A,,A,,A,,A,,A,,R,13
101028,2011,R,312.0,R,788.0,R,40.0,R,278.0,R,0.0,R,278.0,R,129.0,R,46.0,R,75.0,R,0.0,R,75.0,R,16.0,R,21.0,R,18
101073,2011,R,151.0,R,229.0,R,66.0,R,265.0,Z,0.0,R,265.0,R,127.0,R,48.0,R,21.0,Z,0.0,R,21.0,R,7.0,R,33.0,R,21
101116,2011,R,58.0,R,353.0,R,16.0,R,44.0,R,0.0,R,44.0,R,12.0,R,27.0,R,10.0,R,0.0,R,10.0,R,3.0,R,30.0,R,16
