UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2015,R,1222.0,R,1653.0,R,74.0,R,1194.0,R,0.0,R,1194.0,R,690.0,R,58.0,R,13.0,R,0.0,R,13.0,R,4.0,R,31.0,R,19
100663,2015,R,1593.0,R,3071.0,R,52.0,R,1718.0,R,0.0,R,1718.0,R,1351.0,R,79.0,R,29.0,R,1.0,R,28.0,R,17.0,R,61.0,R,18
100690,2015,R,16.0,R,77.0,R,21.0,R,3.0,Z,0.0,R,3.0,R,2.0,R,67.0,R,3.0,Z,0.0,R,3.0,R,2.0,R,67.0,R,10
100706,2015,R,1027.0,R,1858.0,R,55.0,R,714.0,R,0.0,R,714.0,R,573.0,R,80.0,R,10.0,R,0.0,R,10.0,R,4.0,R,40.0,R,16
100724,2015,R,1008.0,R,1188.0,R,85.0,R,1068.0,R,0.0,R,1068.0,R,643.0,R,60.0,R,19.0,R,0.0,R,19.0,R,12.0,R,63.0,R,16
100751,2015,R,7176.0,R,9066.0,R,79.0,R,6794.0,R,1.0,R,6793.0,R,5874.0,R,86.0,R,30.0,R,0.0,R,30.0,R,14.0,R,47.0,R,24
100760,2015,R,392.0,R,668.0,R,59.0,R,457.0,R,0.0,R,457.0,R,239.0,R,52.0,R,63.0,R,0.0,R,63.0,R,34.0,R,54.0,R,17
100812,2015,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,23
100830,2015,R,568.0,R,1132.0,R,50.0,R,558.0,R,1.0,R,557.0,R,360.0,R,65.0,R,55.0,R,0.0,R,55.0,R,26.0,R,47.0,R,16
100858,2015,R,4854.0,R,6337.0,R,77.0,R,4549.0,R,0.0,R,4549.0,R,4085.0,R,90.0,R,39.0,R,0.0,R,39.0,R,27.0,R,69.0,R,19
100937,2015,R,441.0,R,464.0,R,95.0,R,352.0,R,0.0,R,352.0,R,303.0,R,86.0,A,,A,,A,,A,,A,,R,13
